chunk_size,run_number,time_ms,throughput_mibps
8192,1,71.323,2871.447
8192,2,61.327,3339.461
8192,3,61.141,3349.638
8192,4,61.708,3318.851
8192,5,61.291,3341.459
8192,6,61.872,3310.037
8192,7,61.450,3332.815
8192,8,61.464,3332.006
8192,9,61.804,3313.698
8192,10,61.359,3337.757
8192,11,61.235,3344.475
8192,12,61.384,3336.382
8192,13,62.047,3300.745
8192,14,61.134,3349.994
8192,15,61.093,3352.277
8192,16,62.535,3274.984
8192,17,62.851,3258.515
8192,18,63.153,3242.896
8192,19,62.210,3292.093
8192,20,61.795,3314.161
8192,21,63.539,3223.203
8192,22,64.541,3173.181
8192,23,62.639,3269.535
8192,24,62.101,3297.866
8192,25,62.386,3282.777
8192,26,63.730,3213.568
8192,27,64.465,3176.922
8192,28,63.208,3240.079
8192,29,63.163,3242.414
8192,30,62.705,3266.076
16384,1,58.167,3520.886
16384,2,48.224,4246.809
16384,3,48.468,4225.493
16384,4,45.666,4484.722
16384,5,46.197,4433.152
16384,6,46.199,4432.993
16384,7,46.621,4392.829
16384,8,46.431,4410.855
16384,9,46.397,4414.046
16384,10,46.529,4401.539
16384,11,46.751,4380.696
16384,12,46.182,4434.635
16384,13,46.461,4408.020
16384,14,46.126,4440.002
16384,15,46.313,4422.092
16384,16,46.431,4410.845
16384,17,46.285,4424.782
16384,18,46.516,4402.786
16384,19,46.243,4428.739
16384,20,46.045,4447.844
16384,21,46.209,4432.001
16384,22,48.126,4255.501
16384,23,46.811,4375.010
16384,24,46.873,4369.283
16384,25,46.846,4371.795
16384,26,46.498,4404.489
16384,27,46.404,4413.420
16384,28,46.416,4412.288
16384,29,46.373,4416.404
16384,30,46.625,4392.487
24576,1,51.737,3958.494
24576,2,41.361,4951.536
24576,3,41.809,4898.417
24576,4,41.302,4958.647
24576,5,41.791,4900.543
24576,6,41.384,4948.812
24576,7,41.467,4938.911
24576,8,41.386,4948.487
24576,9,41.156,4976.228
24576,10,41.617,4921.031
24576,11,41.402,4946.627
24576,12,41.463,4939.350
24576,13,41.416,4944.982
24576,14,41.340,4954.091
24576,15,41.246,4965.287
24576,16,41.451,4940.741
24576,17,41.179,4973.389
24576,18,41.251,4964.787
24576,19,41.109,4981.865
24576,20,41.220,4968.462
24576,21,40.919,5005.056
24576,22,41.225,4967.848
24576,23,41.476,4937.754
24576,24,41.289,4960.122
24576,25,41.013,4993.585
24576,26,41.027,4991.789
24576,27,41.255,4964.236
24576,28,41.434,4942.803
24576,29,41.308,4957.873
24576,30,41.138,4978.365
32768,1,49.477,4139.333
32768,2,39.221,5221.668
32768,3,39.158,5230.072
32768,4,39.024,5248.066
32768,5,39.141,5232.401
32768,6,39.544,5179.094
32768,7,39.328,5207.516
32768,8,39.558,5177.215
32768,9,39.866,5137.150
32768,10,39.262,5216.233
32768,11,39.077,5240.911
32768,12,39.221,5221.696
32768,13,39.106,5237.000
32768,14,38.909,5263.569
32768,15,39.523,5181.750
32768,16,39.175,5227.842
32768,17,39.235,5219.880
32768,18,39.143,5232.099
32768,19,38.858,5270.491
32768,20,38.863,5269.766
32768,21,39.057,5243.662
32768,22,38.923,5261.718
32768,23,39.086,5239.721
32768,24,39.079,5240.631
32768,25,38.963,5256.273
32768,26,38.998,5251.587
32768,27,39.083,5240.126
32768,28,39.541,5179.432
32768,29,39.196,5225.025
32768,30,39.072,5241.665
40960,1,46.783,4377.661
40960,2,36.696,5580.950
40960,3,37.019,5532.260
40960,4,36.973,5539.127
40960,5,37.312,5488.887
40960,6,37.377,5479.247
40960,7,37.161,5511.129
40960,8,38.290,5348.587
40960,9,37.067,5525.091
40960,10,35.707,5735.499
40960,11,35.590,5754.466
40960,12,35.835,5715.155
40960,13,35.866,5710.197
40960,14,35.729,5732.088
40960,15,35.583,5755.629
40960,16,35.593,5753.948
40960,17,36.945,5543.345
40960,18,36.009,5687.476
40960,19,36.252,5649.326
40960,20,36.097,5673.527
40960,21,35.835,5715.039
40960,22,37.548,5454.288
40960,23,37.207,5504.362
40960,24,36.775,5569.011
40960,25,37.310,5489.201
40960,26,37.304,5490.000
40960,27,37.681,5435.120
40960,28,37.022,5531.809
40960,29,37.074,5524.061
40960,30,37.426,5472.105
49152,1,48.611,4213.038
49152,2,36.228,5653.120
49152,3,36.342,5635.328
49152,4,36.028,5684.493
49152,5,36.138,5667.195
49152,6,35.796,5721.244
49152,7,35.601,5752.678
49152,8,35.465,5774.762
49152,9,35.353,5793.010
49152,10,35.224,5814.274
49152,11,35.210,5816.466
49152,12,35.376,5789.227
49152,13,35.231,5813.092
49152,14,35.080,5838.104
49152,15,35.263,5807.790
49152,16,39.078,5240.780
49152,17,38.020,5386.660
49152,18,35.681,5739.738
49152,19,35.512,5767.009
49152,20,35.620,5749.623
49152,21,35.504,5768.314
49152,22,35.430,5780.470
49152,23,35.525,5764.978
49152,24,35.648,5744.994
49152,25,35.935,5699.120
49152,26,35.722,5733.181
49152,27,35.923,5701.059
49152,28,36.266,5647.218
49152,29,36.074,5677.201
49152,30,36.554,5602.602
57344,1,44.705,4581.135
57344,2,34.242,5980.978
57344,3,34.331,5965.513
57344,4,34.153,5996.580
57344,5,34.121,6002.124
57344,6,34.189,5990.303
57344,7,34.192,5989.713
57344,8,34.230,5983.107
57344,9,33.819,6055.807
57344,10,33.897,6041.813
57344,11,34.200,5988.287
57344,12,34.405,5952.693
57344,13,34.015,6020.949
57344,14,34.603,5918.478
57344,15,34.242,5980.884
57344,16,34.208,5986.933
57344,17,34.232,5982.636
57344,18,33.790,6061.045
57344,19,33.421,6127.919
57344,20,33.410,6129.907
57344,21,33.357,6139.614
57344,22,33.204,6167.928
57344,23,33.313,6147.818
57344,24,33.356,6139.830
57344,25,33.400,6131.810
57344,26,33.495,6114.335
57344,27,33.455,6121.613
57344,28,33.681,6080.536
57344,29,33.364,6138.342
57344,30,33.693,6078.410
65536,1,43.944,4660.450
65536,2,33.943,6033.695
65536,3,33.753,6067.667
65536,4,34.024,6019.192
65536,5,33.960,6030.664
65536,6,33.904,6040.565
65536,7,33.987,6025.903
65536,8,33.763,6065.773
65536,9,33.868,6047.082
65536,10,33.812,6057.110
65536,11,34.033,6017.635
65536,12,33.932,6035.577
65536,13,33.994,6024.676
65536,14,33.819,6055.728
65536,15,34.006,6022.486
65536,16,33.976,6027.772
65536,17,34.001,6023.410
65536,18,33.934,6035.199
65536,19,34.015,6020.862
65536,20,33.615,6092.606
65536,21,33.725,6072.651
65536,22,33.951,6032.196
65536,23,33.716,6074.254
65536,24,33.922,6037.341
65536,25,33.890,6043.167
65536,26,33.974,6028.096
65536,27,33.881,6044.636
65536,28,33.988,6025.621
65536,29,33.597,6095.831
65536,30,33.691,6078.835
73728,1,42.429,4826.867
73728,2,32.286,6343.328
73728,3,32.420,6317.153
73728,4,32.151,6370.028
73728,5,32.290,6342.488
73728,6,32.165,6367.163
73728,7,32.070,6386.128
73728,8,32.138,6372.431
73728,9,32.260,6348.411
73728,10,32.258,6348.827
73728,11,32.345,6331.814
73728,12,32.119,6376.271
73728,13,32.053,6389.345
73728,14,31.890,6422.142
73728,15,31.940,6412.013
73728,16,32.195,6361.288
73728,17,32.148,6370.496
73728,18,32.188,6362.688
73728,19,32.286,6343.363
73728,20,32.214,6357.408
73728,21,32.331,6334.567
73728,22,31.925,6415.047
73728,23,32.493,6302.956
73728,24,32.114,6377.246
73728,25,32.233,6353.654
73728,26,32.145,6371.062
73728,27,32.076,6384.905
73728,28,32.081,6383.920
73728,29,32.089,6382.283
73728,30,32.234,6353.527
81920,1,41.123,4980.223
81920,2,30.678,6675.894
81920,3,30.854,6637.643
81920,4,31.248,6554.055
81920,5,30.686,6673.952
81920,6,30.764,6657.040
81920,7,30.659,6679.997
81920,8,31.143,6576.095
81920,9,30.844,6639.918
81920,10,30.606,6691.561
81920,11,30.309,6757.008
81920,12,30.744,6661.368
81920,13,30.859,6636.695
81920,14,30.575,6698.312
81920,15,30.698,6671.388
81920,16,31.355,6531.572
81920,17,31.035,6598.940
81920,18,30.839,6640.966
81920,19,31.202,6563.711
81920,20,31.088,6587.707
81920,21,30.695,6672.021
81920,22,30.771,6655.627
81920,23,30.455,6724.693
81920,24,30.804,6648.565
81920,25,30.646,6682.729
81920,26,30.694,6672.420
81920,27,30.658,6680.192
81920,28,30.702,6670.582
81920,29,30.634,6685.483
81920,30,31.063,6592.970
90112,1,40.726,5028.768
90112,2,30.671,6677.359
90112,3,30.600,6692.831
90112,4,30.615,6689.568
90112,5,30.477,6719.828
90112,6,30.718,6667.006
90112,7,30.573,6698.823
90112,8,30.863,6635.708
90112,9,30.530,6708.202
90112,10,30.677,6676.033
90112,11,31.247,6554.175
90112,12,30.586,6695.855
90112,13,30.898,6628.319
90112,14,30.383,6740.624
90112,15,30.785,6652.613
90112,16,30.886,6630.807
90112,17,30.874,6633.484
90112,18,30.959,6615.136
90112,19,31.108,6583.610
90112,20,30.816,6645.870
90112,21,30.760,6658.076
90112,22,30.724,6665.701
90112,23,31.039,6598.246
90112,24,30.847,6639.295
90112,25,30.780,6653.644
90112,26,30.751,6659.914
90112,27,30.736,6663.220
90112,28,30.757,6658.584
90112,29,30.843,6639.991
90112,30,30.607,6691.210
98304,1,41.290,4960.056
98304,2,30.496,6715.637
98304,3,30.301,6758.831
98304,4,29.650,6907.294
98304,5,30.304,6758.254
98304,6,30.392,6738.597
98304,7,30.379,6741.480
98304,8,30.169,6788.536
98304,9,29.718,6891.366
98304,10,30.308,6757.311
98304,11,30.198,6781.856
98304,12,30.574,6698.578
98304,13,31.321,6538.776
98304,14,30.376,6742.194
98304,15,30.456,6724.499
98304,16,29.808,6870.660
98304,17,30.025,6821.049
98304,18,30.183,6785.201
98304,19,29.274,6996.027
98304,20,29.490,6944.719
98304,21,29.422,6960.767
98304,22,29.670,6902.482
