chunk_size,run_number,time_ms,throughput_mibps
8192,1,95.801,2137.765
8192,2,100.811,2031.517
8192,3,108.582,1886.136
8192,4,98.614,2076.775
8192,5,97.502,2100.462
8192,6,97.198,2107.041
8192,7,95.228,2150.617
8192,8,95.281,2149.442
8192,9,95.629,2141.617
8192,10,95.263,2149.842
8192,11,94.874,2158.656
8192,12,95.497,2144.571
8192,13,94.864,2158.870
8192,14,95.329,2148.355
8192,15,95.164,2152.077
8192,16,96.332,2125.982
8192,17,97.159,2107.881
8192,18,96.604,2119.995
8192,19,96.439,2123.625
8192,20,97.654,2097.190
8192,21,96.839,2114.840
8192,22,96.750,2116.785
8192,23,96.729,2117.258
8192,24,96.650,2118.994
8192,25,97.360,2103.533
8192,26,96.032,2132.627
8192,27,96.943,2112.588
8192,28,97.148,2108.132
8192,29,96.327,2126.088
8192,30,96.261,2127.539
16384,1,77.815,2631.898
16384,2,79.415,2578.868
16384,3,80.431,2546.281
16384,4,80.046,2558.526
16384,5,81.094,2525.454
16384,6,78.679,2602.983
16384,7,78.464,2610.105
16384,8,79.921,2562.540
16384,9,78.107,2622.034
16384,10,78.614,2605.142
16384,11,78.109,2621.964
16384,12,78.312,2615.189
16384,13,78.455,2610.397
16384,14,77.938,2627.726
16384,15,78.770,2599.982
16384,16,78.905,2595.527
16384,17,79.131,2588.114
16384,18,78.937,2594.472
16384,19,78.611,2605.224
16384,20,78.936,2594.496
16384,21,78.471,2609.872
16384,22,78.269,2616.624
16384,23,78.142,2620.885
16384,24,78.524,2608.127
16384,25,80.415,2546.785
16384,26,77.948,2627.401
16384,27,78.136,2621.087
16384,28,78.904,2595.546
16384,29,77.152,2654.509
16384,30,78.476,2609.731
24576,1,70.566,2902.248
24576,2,71.963,2845.894
24576,3,77.079,2657.008
24576,4,71.929,2847.271
24576,5,73.424,2789.271
24576,6,72.199,2836.599
24576,7,71.796,2852.545
24576,8,72.363,2830.170
24576,9,71.933,2847.083
24576,10,72.591,2821.273
24576,11,72.470,2826.010
24576,12,72.774,2814.207
24576,13,70.516,2904.298
24576,14,71.675,2857.349
24576,15,72.458,2826.454
24576,16,71.353,2870.255
24576,17,70.840,2891.008
24576,18,71.664,2857.770
24576,19,72.014,2843.887
24576,20,71.399,2868.391
24576,21,71.326,2871.307
24576,22,72.800,2813.181
24576,23,71.248,2874.467
24576,24,72.122,2839.646
24576,25,71.355,2870.150
24576,26,77.136,2655.056
24576,27,72.655,2818.808
24576,28,71.787,2852.883
24576,29,70.657,2898.511
24576,30,70.483,2905.660
32768,1,67.033,3055.199
32768,2,67.242,3045.706
32768,3,67.549,3031.892
32768,4,68.173,3004.121
32768,5,68.669,2982.422
32768,6,67.917,3015.456
32768,7,69.267,2956.665
32768,8,68.913,2971.851
32768,9,67.793,3020.939
32768,10,67.744,3023.135
32768,11,68.397,2994.262
32768,12,67.883,3016.955
32768,13,68.424,2993.109
32768,14,68.197,3003.065
32768,15,68.161,3004.638
32768,16,68.399,2994.203
32768,17,67.806,3020.359
32768,18,68.091,3007.723
32768,19,67.994,3012.045
32768,20,68.698,2981.171
32768,21,68.119,3006.506
32768,22,70.934,2887.195
32768,23,69.036,2966.588
32768,24,68.906,2972.151
32768,25,68.199,3002.982
32768,26,68.380,2995.047
32768,27,67.812,3020.096
32768,28,68.638,2983.756
32768,29,68.362,2995.835
32768,30,68.657,2982.946
40960,1,65.794,3112.757
40960,2,66.887,3061.899
40960,3,67.044,3054.688
40960,4,66.662,3072.204
40960,5,66.432,3082.861
40960,6,67.642,3027.688
40960,7,66.693,3070.769
40960,8,66.769,3067.295
40960,9,66.066,3099.953
40960,10,66.648,3072.854
40960,11,66.293,3089.304
40960,12,67.610,3029.149
40960,13,66.671,3071.789
40960,14,66.153,3095.869
40960,15,66.114,3097.695
40960,16,67.414,3037.960
40960,17,66.688,3071.036
40960,18,67.014,3056.098
40960,19,66.922,3060.288
40960,20,67.282,3043.885
40960,21,66.487,3080.297
40960,22,68.586,2986.041
40960,23,67.491,3034.475
40960,24,66.731,3069.030
40960,25,66.740,3068.624
40960,26,67.033,3055.219
40960,27,66.565,3076.694
40960,28,69.651,2940.382
40960,29,67.269,3044.482
40960,30,66.930,3059.917
49152,1,65.109,3145.511
49152,2,65.592,3122.331
49152,3,65.682,3118.076
49152,4,65.513,3126.120
49152,5,74.407,2752.413
49152,6,65.530,3125.296
49152,7,66.533,3078.161
49152,8,65.852,3109.994
49152,9,66.269,3090.418
49152,10,65.908,3107.384
49152,11,67.688,3025.658
49152,12,66.457,3081.712
49152,13,65.926,3106.535
49152,14,65.821,3111.471
49152,15,66.402,3084.237
49152,16,66.062,3100.123
49152,17,66.087,3098.937
49152,18,65.585,3122.660
49152,19,65.462,3128.512
49152,20,64.808,3160.092
49152,21,65.158,3143.146
49152,22,65.164,3142.854
49152,23,65.706,3116.919
49152,24,65.273,3137.581
49152,25,65.914,3107.086
49152,26,64.851,3158.031
49152,27,65.416,3130.737
49152,28,65.291,3136.706
49152,29,67.925,3015.069
49152,30,66.052,3100.595
57344,1,63.256,3237.634
57344,2,64.785,3161.248
57344,3,65.003,3150.642
57344,4,64.061,3196.972
57344,5,65.260,3138.225
57344,6,64.395,3180.357
57344,7,64.360,3182.090
57344,8,64.276,3186.250
57344,9,64.714,3164.685
57344,10,65.270,3137.713
57344,11,64.904,3155.434
57344,12,64.983,3151.598
57344,13,64.426,3178.860
57344,14,64.907,3155.279
57344,15,65.231,3139.589
57344,16,65.114,3145.276
57344,17,65.359,3133.442
57344,18,65.869,3109.179
57344,19,66.482,3080.552
57344,20,66.894,3061.568
57344,21,65.488,3127.283
57344,22,65.376,3132.656
57344,23,64.936,3153.863
57344,24,64.033,3198.344
57344,25,65.512,3126.144
57344,26,64.905,3155.379
57344,27,65.921,3106.763
57344,28,65.405,3131.252
57344,29,65.728,3115.884
57344,30,64.277,3186.205
65536,1,63.365,3232.057
65536,2,64.118,3194.124
65536,3,63.615,3219.355
65536,4,64.238,3188.134
65536,5,67.126,3050.990
65536,6,64.382,3181.012
65536,7,65.000,3150.781
65536,8,64.618,3169.385
65536,9,65.098,3146.022
65536,10,64.993,3151.102
65536,11,64.940,3153.669
65536,12,64.612,3169.679
65536,13,64.782,3161.357
65536,14,64.127,3193.652
65536,15,63.729,3213.584
65536,16,63.334,3233.674
65536,17,63.649,3217.657
65536,18,64.414,3179.428
65536,19,63.876,3206.208
65536,20,63.099,3245.712
65536,21,64.014,3199.280
65536,22,63.734,3213.353
65536,23,63.685,3215.805
65536,24,64.112,3194.428
65536,25,64.590,3170.768
65536,26,63.861,3206.949
65536,27,63.607,3219.759
65536,28,64.532,3173.598
65536,29,64.494,3175.498
65536,30,63.977,3201.150
73728,1,62.595,3271.843
73728,2,63.236,3238.662
73728,3,63.670,3216.602
73728,4,63.290,3235.904
73728,5,63.841,3207.953
73728,6,64.118,3194.132
73728,7,68.995,2968.317
73728,8,63.814,3209.308
73728,9,64.470,3176.679
73728,10,63.501,3225.122
73728,11,63.681,3216.053
73728,12,65.199,3141.135
73728,13,63.809,3209.558
73728,14,64.444,3177.946
73728,15,64.055,3197.266
73728,16,64.416,3179.356
73728,17,64.215,3189.265
73728,18,63.812,3209.418
73728,19,64.145,3192.753
73728,20,63.959,3202.038
73728,21,63.846,3207.735
73728,22,62.860,3258.010
73728,23,64.024,3198.822
73728,24,63.880,3205.993
73728,25,64.085,3195.739
73728,26,64.159,3192.087
73728,27,64.244,3187.870
73728,28,64.312,3184.461
73728,29,63.960,3202.001
73728,30,63.916,3204.209
81920,1,62.587,3272.264
81920,2,64.798,3160.606
81920,3,64.012,3199.385
81920,4,64.916,3154.860
81920,5,64.060,3196.984
81920,6,65.422,3130.451
81920,7,64.098,3195.107
81920,8,64.953,3153.053
81920,9,64.533,3173.551
81920,10,64.152,3192.407
81920,11,63.573,3221.507
81920,12,63.413,3229.633
81920,13,63.194,3240.824
81920,14,63.850,3207.519
81920,15,63.636,3218.287
81920,16,63.431,3228.730
81920,17,62.948,3253.494
81920,18,63.898,3205.094
81920,19,63.276,3236.601
81920,20,63.624,3218.917
81920,21,63.738,3213.141
81920,22,63.175,3241.802
81920,23,63.090,3246.150
81920,24,63.169,3242.112
81920,25,63.267,3237.067
81920,26,63.800,3210.021
81920,27,63.453,3227.609
81920,28,63.635,3218.341
81920,29,63.355,3232.565
81920,30,63.555,3222.414
90112,1,61.978,3304.421
90112,2,63.510,3224.666
90112,3,63.465,3226.984
90112,4,63.014,3250.053
90112,5,62.934,3254.201
90112,6,63.479,3226.276
90112,7,63.423,3229.113
90112,8,62.998,3250.922
90112,9,62.593,3271.907
90112,10,63.819,3209.091
90112,11,62.785,3261.919
90112,12,63.001,3250.740
90112,13,63.144,3243.363
90112,14,64.031,3198.459
90112,15,63.326,3234.073
90112,16,64.575,3171.512
90112,17,64.403,3179.956
90112,18,63.062,3247.586
90112,19,62.851,3258.514
90112,20,63.038,3248.835
90112,21,64.511,3174.651
90112,22,63.033,3249.093
90112,23,63.103,3245.490
90112,24,63.079,3246.714
90112,25,63.089,3246.189
90112,26,63.052,3248.125
90112,27,62.761,3263.187
90112,28,64.132,3193.435
90112,29,63.665,3216.813
90112,30,62.991,3251.242
98304,1,62.534,3275.022
98304,2,63.473,3226.571
98304,3,63.590,3220.641
98304,4,62.847,3258.713
98304,5,63.407,3229.925
98304,6,63.223,3239.338
98304,7,63.298,3235.476
98304,8,63.465,3226.957
98304,9,67.451,3036.299
98304,10,64.031,3198.434
98304,11,63.283,3236.253
98304,12,63.067,3247.363
98304,13,62.861,3257.958
98304,14,62.192,3293.025
98304,15,64.419,3179.168
98304,16,66.723,3069.413
98304,17,65.035,3149.092
98304,18,64.324,3183.878
98304,19,64.224,3188.838
98304,20,64.328,3183.670
98304,21,63.426,3228.951
98304,22,64.704,3165.164
98304,23,64.352,3182.482
98304,24,63.305,3235.152
98304,25,63.800,3210.046
98304,26,68.370,2995.470
98304,27,63.268,3237.005
98304,28,63.503,3225.054
98304,29,63.014,3250.079
98304,30,63.389,3230.824
106496,1,65.416,3130.718
106496,2,63.300,3235.412
106496,3,63.942,3202.925
106496,4,63.892,3205.394
106496,5,63.554,3222.439
106496,6,63.164,3242.337
106496,7,62.829,3259.636
106496,8,62.894,3256.281
106496,9,63.386,3230.973
106496,10,63.266,3237.147
106496,11,63.483,3226.073
106496,12,63.193,3240.845
106496,13,64.437,3178.288
106496,14,63.775,3211.303
106496,15,63.351,3232.772
106496,16,62.671,3267.874
106496,17,63.397,3230.437
106496,18,62.892,3256.354
106496,19,64.180,3191.036
106496,20,63.304,3235.192
106496,21,63.369,3231.888
106496,22,64.115,3194.270
106496,23,63.024,3249.559
106496,24,63.516,3224.394
106496,25,63.485,3225.955
