chunk_size,run_number,time_ms,throughput_mibps
8192,1,61.078,3353.105
8192,2,53.761,3809.463
8192,3,53.377,3836.872
8192,4,53.560,3823.759
8192,5,52.754,3882.197
8192,6,53.246,3846.325
8192,7,52.277,3917.601
8192,8,53.264,3845.013
8192,9,53.862,3802.291
8192,10,54.707,3743.559
8192,11,52.456,3904.196
8192,12,55.943,3660.864
8192,13,53.653,3817.123
8192,14,53.682,3815.037
8192,15,53.292,3843.007
8192,16,53.478,3829.596
8192,17,52.174,3925.321
8192,18,52.668,3888.479
8192,19,52.498,3901.091
8192,20,56.337,3635.241
8192,21,52.522,3899.292
8192,22,54.757,3740.139
8192,23,54.566,3753.253
8192,24,53.797,3806.909
8192,25,52.135,3928.274
8192,26,52.570,3895.737
8192,27,52.654,3889.544
8192,28,51.964,3941.181
8192,29,52.403,3908.197
8192,30,52.248,3919.789
16384,1,49.575,4131.094
16384,2,42.216,4851.245
16384,3,41.843,4894.436
16384,4,42.665,4800.172
16384,5,41.306,4958.166
16384,6,41.968,4879.863
16384,7,41.943,4882.860
16384,8,41.827,4896.397
16384,9,41.853,4893.366
16384,10,42.055,4869.807
16384,11,42.291,4842.647
16384,12,42.355,4835.319
16384,13,42.080,4866.941
16384,14,41.981,4878.367
16384,15,41.822,4896.935
16384,16,41.819,4897.265
16384,17,41.850,4893.708
16384,18,41.907,4887.030
16384,19,41.765,4903.624
16384,20,42.001,4876.085
16384,21,41.980,4878.529
16384,22,42.988,4764.084
16384,23,41.887,4889.340
16384,24,42.248,4847.530
16384,25,41.674,4914.277
16384,26,41.836,4895.330
16384,27,41.886,4889.514
16384,28,42.123,4861.929
16384,29,42.060,4869.236
16384,30,42.212,4851.671
24576,1,44.516,4600.551
24576,2,37.902,5403.446
24576,3,37.211,5503.716
24576,4,37.619,5444.102
24576,5,37.380,5478.892
24576,6,36.958,5541.474
24576,7,37.090,5521.667
24576,8,36.963,5540.668
24576,9,37.228,5501.233
24576,10,37.203,5504.900
24576,11,37.338,5485.072
24576,12,37.532,5456.620
24576,13,37.138,5514.559
24576,14,37.118,5517.476
24576,15,37.399,5476.069
24576,16,37.265,5495.725
24576,17,36.497,5611.392
24576,18,36.892,5551.349
24576,19,37.062,5525.945
24576,20,37.267,5495.496
24576,21,37.309,5489.360
24576,22,37.388,5477.758
24576,23,38.315,5345.120
24576,24,37.760,5423.721
24576,25,37.997,5389.915
24576,26,37.695,5433.025
24576,27,37.042,5528.811
24576,28,37.202,5505.053
