chunk_size,run_number,time_ms,throughput_mibps
8192,1,89.393,2291.001
8192,2,88.284,2319.792
8192,3,89.174,2296.621
8192,4,88.051,2325.926
8192,5,88.272,2320.090
8192,6,88.873,2304.424
8192,7,89.089,2298.825
8192,8,89.391,2291.058
8192,9,90.346,2266.837
8192,10,89.280,2293.913
8192,11,90.246,2269.351
8192,12,89.023,2300.531
8192,13,89.513,2287.934
8192,14,90.058,2274.098
8192,15,89.122,2297.965
8192,16,89.444,2289.694
8192,17,89.566,2286.594
8192,18,88.886,2304.076
8192,19,88.879,2304.256
8192,20,88.868,2304.539
8192,21,89.659,2284.202
8192,22,88.814,2305.934
8192,23,88.440,2315.705
8192,24,88.941,2302.659
8192,25,88.627,2310.814
8192,26,88.455,2315.312
8192,27,88.143,2323.500
8192,28,88.311,2319.087
8192,29,89.121,2297.993
8192,30,88.720,2308.386
16384,1,71.136,2879.004
16384,2,71.964,2845.855
16384,3,71.640,2858.736
16384,4,71.540,2862.725
16384,5,71.481,2865.097
16384,6,71.283,2873.053
16384,7,71.068,2881.741
16384,8,71.313,2871.858
16384,9,72.251,2834.575
16384,10,71.483,2865.003
16384,11,71.340,2870.752
16384,12,71.317,2871.685
16384,13,71.890,2848.814
16384,14,73.357,2791.831
16384,15,72.095,2840.693
16384,16,72.043,2842.731
16384,17,71.837,2850.891
16384,18,71.745,2854.538
16384,19,72.617,2820.267
16384,20,72.261,2834.170
16384,21,71.688,2856.830
16384,22,71.609,2859.957
16384,23,72.007,2844.166
16384,24,71.783,2853.041
16384,25,71.275,2873.365
16384,26,71.615,2859.742
16384,27,72.170,2837.751
16384,28,72.889,2809.754
16384,29,72.009,2844.088
16384,30,74.336,2755.051
24576,1,67.897,3016.327
24576,2,67.842,3018.801
24576,3,68.505,2989.555
24576,4,70.836,2891.204
24576,5,68.568,2986.813
24576,6,69.296,2955.455
24576,7,68.612,2984.900
24576,8,67.885,3016.889
24576,9,68.197,3003.069
24576,10,68.430,2992.819
24576,11,72.768,2814.432
24576,12,67.450,3036.315
24576,13,68.106,3007.069
24576,14,69.142,2962.024
24576,15,69.809,2933.706
24576,16,70.711,2896.305
24576,17,69.758,2935.868
24576,18,69.890,2930.338
24576,19,69.867,2931.276
24576,20,68.439,2992.436
24576,21,69.068,2965.187
24576,22,70.482,2905.705
24576,23,68.059,3009.166
24576,24,71.857,2850.113
24576,25,70.407,2908.801
24576,26,68.594,2985.693
24576,27,71.038,2882.962
24576,28,69.341,2953.532
24576,29,69.110,2963.394
24576,30,71.697,2856.464
32768,1,67.586,3030.221
32768,2,66.683,3071.253
32768,3,66.745,3068.394
32768,4,65.487,3127.341
32768,5,66.197,3093.803
32768,6,65.010,3150.283
32768,7,65.409,3131.049
32768,8,65.427,3130.211
32768,9,65.941,3105.826
