chunk_size,run_number,time_ms,throughput_mibps
8192,1,67.086,3052.820
8192,2,57.073,3588.378
8192,3,57.234,3578.285
8192,4,57.250,3577.296
8192,5,56.864,3601.571
8192,6,56.984,3594.003
8192,7,56.912,3598.545
8192,8,57.722,3548.030
8192,9,57.082,3587.818
8192,10,56.835,3603.437
8192,11,56.989,3593.663
8192,12,56.768,3607.646
8192,13,56.698,3612.132
8192,14,56.957,3595.666
8192,15,56.963,3595.306
8192,16,57.217,3579.350
8192,17,56.909,3598.713
8192,18,56.803,3605.458
8192,19,57.020,3591.743
8192,20,57.257,3576.865
8192,21,56.752,3608.690
8192,22,56.831,3603.649
8192,23,57.228,3578.670
8192,24,56.892,3599.803
8192,25,56.879,3600.630
8192,26,56.763,3607.963
8192,27,56.869,3601.259
8192,28,57.010,3592.346
8192,29,56.884,3600.295
8192,30,56.706,3611.592
16384,1,53.367,3837.575
16384,2,43.235,4736.880
16384,3,42.947,4768.648
16384,4,42.925,4771.150
16384,5,43.181,4742.868
16384,6,42.849,4779.544
16384,7,42.943,4769.073
16384,8,42.730,4792.832
16384,9,42.846,4779.947
16384,10,42.733,4792.564
16384,11,42.747,4790.944
16384,12,42.934,4770.141
16384,13,42.857,4778.707
16384,14,42.789,4786.317
16384,15,42.811,4783.816
16384,16,42.788,4786.339
16384,17,42.893,4774.645
16384,18,42.575,4810.314
16384,19,42.755,4790.072
16384,20,42.609,4806.534
16384,21,42.676,4798.942
16384,22,42.762,4789.293
16384,23,43.098,4752.013
16384,24,43.022,4760.333
16384,25,42.664,4800.253
16384,26,42.939,4769.551
16384,27,42.746,4791.070
16384,28,42.839,4780.645
16384,29,42.907,4773.066
16384,30,42.834,4781.248
24576,1,48.295,4240.648
24576,2,37.905,5403.004
24576,3,37.884,5405.983
24576,4,38.068,5379.794
24576,5,37.732,5427.708
24576,6,38.142,5369.371
24576,7,37.935,5398.686
24576,8,38.167,5365.842
24576,9,38.014,5387.513
24576,10,38.071,5379.472
24576,11,38.087,5377.118
24576,12,38.026,5385.721
24576,13,38.290,5348.668
24576,14,38.042,5383.566
24576,15,38.195,5361.988
24576,16,38.289,5348.767
24576,17,37.998,5389.791
24576,18,37.850,5410.833
24576,19,38.195,5362.004
24576,20,38.034,5384.618
24576,21,38.092,5376.469
24576,22,38.156,5367.469
24576,23,38.285,5349.414
24576,24,38.047,5382.792
24576,25,38.267,5351.875
24576,26,38.035,5384.464
24576,27,37.943,5397.577
24576,28,38.033,5384.823
24576,29,38.150,5368.329
24576,30,37.817,5415.515
32768,1,46.887,4367.935
32768,2,36.228,5653.139
32768,3,36.001,5688.721
32768,4,36.079,5676.499
32768,5,36.380,5629.456
32768,6,36.296,5642.468
32768,7,36.061,5679.305
32768,8,36.242,5650.897
32768,9,36.385,5628.725
32768,10,36.348,5634.369
32768,11,36.326,5637.887
32768,12,36.526,5606.912
32768,13,36.467,5615.964
32768,14,36.364,5631.902
32768,15,36.343,5635.155
32768,16,36.369,5631.220
32768,17,36.258,5648.367
32768,18,36.332,5636.869
32768,19,35.846,5713.323
32768,20,35.972,5693.373
32768,21,36.297,5642.293
32768,22,36.118,5670.270
32768,23,36.504,5610.268
32768,24,36.285,5644.141
32768,25,36.428,5621.972
32768,26,36.228,5653.161
32768,27,36.430,5621.770
32768,28,36.219,5654.497
32768,29,36.238,5651.578
32768,30,36.212,5655.537
40960,1,44.217,4631.731
40960,2,33.938,6034.497
40960,3,33.906,6040.194
40960,4,33.924,6037.031
40960,5,33.989,6025.460
40960,6,33.753,6067.586
40960,7,33.879,6045.118
40960,8,33.738,6070.242
40960,9,33.655,6085.324
40960,10,33.708,6075.721
40960,11,33.624,6090.954
40960,12,33.695,6078.039
40960,13,33.347,6141.570
40960,14,33.716,6074.244
40960,15,33.742,6069.650
40960,16,33.798,6059.564
40960,17,33.752,6067.858
40960,18,33.785,6061.776
40960,19,33.829,6053.932
40960,20,33.777,6063.263
40960,21,33.784,6062.130
40960,22,33.710,6075.411
40960,23,33.713,6074.766
40960,24,34.008,6022.146
40960,25,33.912,6039.223
40960,26,33.732,6071.377
40960,27,33.915,6038.671
40960,28,33.675,6081.737
40960,29,33.657,6084.842
40960,30,34.211,5986.376
49152,1,44.086,4645.425
49152,2,33.709,6075.522
49152,3,34.461,5942.878
49152,4,33.859,6048.564
49152,5,33.974,6028.156
