chunk_size,run_number,time_ms,throughput_mibps
8192,1,84.600,2420.802
8192,2,93.699,2185.720
8192,3,93.051,2200.953
8192,4,93.633,2187.268
8192,5,93.860,2181.976
8192,6,93.814,2183.054
8192,7,91.347,2242.012
8192,8,94.506,2167.066
8192,9,93.002,2202.095
8192,10,91.174,2246.266
8192,11,92.921,2204.031
8192,12,93.889,2181.302
8192,13,93.463,2191.251
8192,14,94.132,2175.657
8192,15,94.142,2175.441
8192,16,94.372,2170.137
8192,17,93.813,2183.076
8192,18,93.553,2189.130
8192,19,95.566,2143.019
8192,20,94.152,2175.212
8192,21,94.271,2172.449
8192,22,94.262,2172.660
8192,23,94.342,2170.821
8192,24,94.129,2175.731
8192,25,94.320,2171.326
8192,26,94.651,2163.735
8192,27,94.116,2176.039
8192,28,95.278,2149.505
8192,29,94.162,2174.984
8192,30,89.892,2278.279
16384,1,76.426,2679.732
16384,2,76.351,2682.360
16384,3,78.941,2594.333
16384,4,80.073,2557.681
16384,5,79.765,2567.528
16384,6,79.866,2564.281
16384,7,80.425,2546.479
16384,8,79.673,2570.510
16384,9,80.885,2532.002
16384,10,79.801,2566.384
16384,11,79.966,2561.100
16384,12,80.009,2559.703
16384,13,79.941,2561.878
16384,14,80.050,2558.405
16384,15,79.855,2564.641
16384,16,81.476,2513.624
16384,17,79.837,2565.228
16384,18,80.236,2552.481
16384,19,79.605,2572.715
16384,20,79.576,2573.638
16384,21,80.503,2544.001
16384,22,79.710,2569.319
16384,23,79.934,2562.101
16384,24,79.668,2570.653
16384,25,78.864,2596.867
16384,26,78.147,2620.698
16384,27,77.475,2643.425
16384,28,79.672,2570.540
16384,29,78.419,2611.604
16384,30,79.277,2583.359
24576,1,76.161,2689.037
24576,2,74.816,2737.380
24576,3,77.145,2654.757
24576,4,76.337,2682.849
24576,5,71.188,2876.881
24576,6,72.740,2815.501
24576,7,71.385,2868.948
24576,8,74.043,2765.962
24576,9,73.639,2781.139
24576,10,73.383,2790.833
24576,11,75.570,2710.063
24576,12,74.261,2757.846
24576,13,73.963,2768.952
24576,14,74.593,2745.559
24576,15,73.811,2774.655
24576,16,74.232,2758.907
24576,17,73.730,2777.712
24576,18,74.331,2755.257
24576,19,74.201,2760.068
24576,20,73.486,2786.909
24576,21,73.915,2770.749
24576,22,74.328,2755.358
24576,23,73.708,2778.549
24576,24,74.262,2757.798
24576,25,73.664,2780.188
24576,26,74.675,2742.550
24576,27,73.694,2779.063
24576,28,74.392,2752.989
24576,29,74.455,2750.655
24576,30,74.389,2753.080
32768,1,75.308,2719.505
32768,2,71.946,2846.597
32768,3,71.692,2856.660
32768,4,71.709,2856.005
32768,5,71.007,2884.229
32768,6,71.511,2863.883
32768,7,71.551,2862.307
32768,8,71.081,2881.221
32768,9,70.626,2899.794
32768,10,72.550,2822.861
32768,11,71.220,2875.580
32768,12,71.958,2846.119
32768,13,70.970,2885.746
32768,14,71.887,2848.900
32768,15,72.152,2838.433
32768,16,71.863,2849.869
32768,17,71.059,2882.130
32768,18,71.793,2852.640
32768,19,71.452,2866.267
32768,20,70.481,2905.730
32768,21,73.705,2778.634
32768,22,71.472,2865.454
32768,23,72.009,2844.097
32768,24,71.286,2872.952
32768,25,72.855,2811.052
32768,26,72.159,2838.182
32768,27,72.182,2837.270
32768,28,71.085,2881.056
32768,29,71.766,2853.705
32768,30,71.369,2869.608
40960,1,78.125,2621.455
40960,2,72.430,2827.564
40960,3,70.641,2899.146
40960,4,69.528,2945.593
40960,5,70.672,2897.896
40960,6,69.561,2944.176
40960,7,69.685,2938.952
40960,8,68.650,2983.245
40960,9,69.676,2939.331
40960,10,69.775,2935.130
40960,11,70.675,2897.788
40960,12,70.569,2902.112
40960,13,70.388,2909.579
40960,14,67.226,3046.454
40960,15,71.116,2879.810
40960,16,69.080,2964.668
40960,17,68.520,2988.909
40960,18,69.088,2964.331
40960,19,68.628,2984.209
40960,20,69.160,2961.267
40960,21,69.547,2944.760
40960,22,70.891,2888.945
40960,23,72.802,2813.119
40960,24,71.066,2881.833
40960,25,69.596,2942.693
40960,26,71.203,2876.266
40960,27,70.514,2904.407
40960,28,70.613,2900.306
40960,29,70.831,2891.402
40960,30,70.598,2900.918
49152,1,71.231,2875.149
49152,2,69.500,2946.781
49152,3,71.839,2850.835
49152,4,69.527,2945.603
49152,5,70.046,2923.801
49152,6,69.959,2927.446
49152,7,69.466,2948.217
49152,8,69.229,2958.294
49152,9,69.713,2937.775
49152,10,69.570,2943.814
49152,11,69.467,2948.148
49152,12,70.040,2924.057
49152,13,70.797,2892.797
49152,14,70.238,2915.799
49152,15,69.421,2950.116
49152,16,72.536,2823.434
49152,17,68.713,2980.532
49152,18,69.438,2949.415
49152,19,67.449,3036.354
49152,20,70.163,2918.905
49152,21,67.750,3022.881
49152,22,69.223,2958.575
49152,23,68.253,3000.619
49152,24,69.137,2962.254
49152,25,70.259,2914.921
49152,26,69.454,2948.717
49152,27,69.912,2929.414
49152,28,70.697,2896.872
49152,29,68.727,2979.923
49152,30,69.079,2964.711
57344,1,70.303,2913.095
57344,2,66.045,3100.893
57344,3,68.466,2991.265
57344,4,65.324,3135.164
57344,5,66.868,3062.753
57344,6,64.928,3154.243
57344,7,67.072,3053.431
57344,8,65.162,3142.958
57344,9,67.470,3035.429
57344,10,64.985,3151.509
