chunk_size,run_number,time_ms,throughput_mibps
8192,1,44.812,4570.208
8192,2,37.582,5449.433
8192,3,37.598,5447.108
8192,4,38.685,5294.053
8192,5,37.595,5447.603
8192,6,37.035,5529.854
8192,7,36.710,5578.933
8192,8,36.862,5555.910
8192,9,37.023,5531.665
8192,10,37.351,5483.147
8192,11,37.123,5516.734
8192,12,37.336,5485.306
8192,13,37.268,5495.290
8192,14,36.963,5540.605
8192,15,37.293,5491.627
8192,16,36.998,5535.498
8192,17,37.548,5454.394
8192,18,37.117,5517.644
8192,19,37.452,5468.391
8192,20,37.204,5504.798
8192,21,37.262,5496.168
8192,22,36.904,5549.518
8192,23,36.994,5535.988
8192,24,37.304,5489.993
8192,25,37.374,5479.738
8192,26,37.384,5478.268
8192,27,36.575,5599.429
8192,28,37.219,5502.556
8192,29,36.952,5542.267
8192,30,36.567,5600.615
16384,1,39.728,5155.108
16384,2,31.616,6477.719
16384,3,31.363,6530.090
16384,4,31.557,6489.764
16384,5,31.732,6454.021
16384,6,31.767,6446.951
16384,7,31.556,6490.061
16384,8,31.652,6470.284
16384,9,31.851,6429.846
16384,10,31.609,6479.191
16384,11,31.802,6439.826
16384,12,31.558,6489.597
16384,13,31.538,6493.687
16384,14,31.560,6489.259
16384,15,34.215,5985.657
16384,16,32.871,6230.402
16384,17,31.604,6480.136
16384,18,31.446,6512.844
16384,19,31.933,6413.501
16384,20,32.090,6382.010
16384,21,31.852,6429.838
16384,22,31.938,6412.523
16384,23,31.635,6473.811
16384,24,31.546,6492.120
16384,25,31.677,6465.270
16384,26,31.320,6538.913
16384,27,31.654,6469.944
16384,28,31.623,6476.280
16384,29,31.636,6473.737
16384,30,31.635,6473.878
24576,1,36.622,5592.191
24576,2,28.795,7112.340
24576,3,28.865,7095.074
24576,4,28.915,7082.804
24576,5,29.121,7032.764
24576,6,29.138,7028.528
24576,7,28.832,7103.304
24576,8,28.706,7134.418
24576,9,28.834,7102.793
24576,10,28.834,7102.660
24576,11,29.044,7051.333
24576,12,29.214,7010.269
24576,13,29.028,7055.176
24576,14,28.950,7074.365
24576,15,28.689,7138.741
24576,16,28.932,7078.696
24576,17,29.187,7016.715
24576,18,28.848,7099.216
24576,19,28.902,7086.018
24576,20,28.947,7074.972
24576,21,28.974,7068.344
24576,22,28.904,7085.510
24576,23,28.995,7063.391
24576,24,29.006,7060.544
24576,25,28.992,7064.002
24576,26,28.935,7078.007
24576,27,29.101,7037.599
24576,28,28.941,7076.429
24576,29,28.686,7139.284
24576,30,28.789,7113.919
32768,1,35.810,5719.038
32768,2,28.481,7190.825
32768,3,28.321,7231.327
32768,4,28.069,7296.219
32768,5,28.144,7276.895
32768,6,28.050,7301.293
32768,7,28.541,7175.593
32768,8,28.237,7252.826
32768,9,28.457,7196.744
32768,10,28.335,7227.886
32768,11,28.513,7182.608
32768,12,28.369,7219.194
32768,13,28.330,7228.970
32768,14,28.643,7150.125
32768,15,28.360,7221.467
32768,16,28.096,7289.208
32768,17,28.338,7227.040
32768,18,28.548,7173.936
32768,19,28.507,7184.158
32768,20,28.166,7271.066
32768,21,28.131,7280.300
32768,22,28.595,7162.108
32768,23,28.084,7292.476
32768,24,28.540,7175.961
32768,25,28.503,7185.266
32768,26,28.360,7221.369
32768,27,28.255,7248.323
32768,28,27.575,7427.094
32768,29,27.913,7337.142
32768,30,28.144,7276.908
40960,1,34.904,5867.469
40960,2,27.366,7483.755
40960,3,27.319,7496.597
40960,4,27.278,7507.842
40960,5,27.319,7496.539
40960,6,27.569,7428.711
40960,7,26.960,7596.322
40960,8,27.239,7518.637
40960,9,27.190,7532.217
40960,10,27.269,7510.308
40960,11,27.434,7465.263
40960,12,27.353,7487.362
40960,13,27.286,7505.714
40960,14,27.444,7462.431
40960,15,27.374,7481.550
40960,16,27.564,7429.923
40960,17,27.400,7474.563
40960,18,27.524,7440.833
40960,19,27.185,7533.514
40960,20,27.358,7485.852
40960,21,27.586,7423.951
40960,22,27.607,7418.471
40960,23,27.485,7451.463
40960,24,27.357,7486.203
40960,25,26.990,7588.041
40960,26,27.284,7506.347
40960,27,27.120,7551.646
40960,28,27.159,7540.892
40960,29,27.046,7572.316
40960,30,27.464,7457.065
49152,1,34.839,5878.508
49152,2,27.268,7510.532
49152,3,27.423,7468.121
49152,4,27.420,7468.945
49152,5,27.430,7466.364
49152,6,27.261,7512.544
49152,7,27.356,7486.521
49152,8,27.581,7425.375
49152,9,27.343,7489.938
49152,10,27.446,7462.023
49152,11,27.195,7530.716
49152,12,27.295,7503.187
49152,13,27.398,7474.894
49152,14,27.471,7455.058
49152,15,27.551,7433.587
49152,16,27.771,7374.499
49152,17,27.541,7436.256
49152,18,27.544,7435.442
49152,19,27.664,7403.159
