chunk_size,run_number,time_ms,throughput_mibps
8192,1,72.517,2824.149
8192,2,72.419,2827.988
8192,3,75.708,2705.133
8192,4,72.813,2812.704
8192,5,74.231,2758.942
8192,6,73.866,2772.584
8192,7,73.008,2805.190
8192,8,75.264,2721.089
8192,9,70.495,2905.158
8192,10,74.164,2761.442
8192,11,72.951,2807.351
8192,12,72.018,2843.750
8192,13,72.193,2836.822
8192,14,72.345,2830.886
8192,15,72.461,2826.338
8192,16,73.515,2785.843
8192,17,72.345,2830.887
8192,18,73.042,2803.860
8192,19,71.427,2867.256
8192,20,75.453,2714.258
8192,21,72.010,2844.069
8192,22,71.679,2857.165
8192,23,74.290,2756.763
8192,24,75.228,2722.382
8192,25,72.760,2814.736
8192,26,71.271,2873.522
8192,27,75.867,2699.450
8192,28,70.867,2889.941
8192,29,73.791,2775.402
8192,30,75.473,2713.555
16384,1,62.627,3270.149
16384,2,65.494,3127.010
16384,3,61.858,3310.820
16384,4,63.361,3232.263
16384,5,64.642,3168.207
16384,6,64.763,3162.323
16384,7,62.129,3296.386
16384,8,62.265,3289.159
16384,9,64.360,3182.091
16384,10,62.959,3252.926
16384,11,64.214,3189.358
16384,12,66.105,3098.118
16384,13,61.952,3305.775
16384,14,65.625,3120.760
16384,15,61.531,3328.380
16384,16,66.043,3100.999
16384,17,61.780,3314.998
16384,18,62.617,3270.685
16384,19,66.445,3082.254
16384,20,61.530,3328.470
16384,21,66.624,3073.950
16384,22,63.693,3215.435
16384,23,64.807,3160.150
16384,24,64.150,3192.530
16384,25,61.701,3319.207
16384,26,65.940,3105.840
16384,27,63.792,3210.436
16384,28,61.888,3309.193
16384,29,62.824,3259.902
16384,30,64.556,3172.446
24576,1,63.559,3222.183
24576,2,64.112,3194.388
24576,3,62.891,3256.417
24576,4,59.126,3463.779
24576,5,62.183,3293.515
24576,6,64.297,3185.196
24576,7,62.692,3266.765
24576,8,60.663,3376.044
24576,9,63.964,3201.799
24576,10,64.886,3156.302
24576,11,59.778,3425.984
24576,12,61.143,3349.518
24576,13,63.666,3216.765
24576,14,61.976,3304.510
24576,15,66.067,3099.890
24576,16,61.614,3323.910
24576,17,62.850,3258.543
24576,18,60.831,3366.722
24576,19,60.751,3371.111
24576,20,65.181,3142.012
24576,21,62.955,3253.127
24576,22,61.416,3334.657
24576,23,62.840,3259.054
24576,24,60.727,3372.489
24576,25,64.705,3165.151
24576,26,61.556,3327.040
24576,27,62.555,3273.936
24576,28,62.634,3269.786
24576,29,61.690,3319.820
24576,30,64.608,3169.871
32768,1,60.654,3376.552
32768,2,59.582,3437.270
32768,3,64.115,3194.241
32768,4,61.825,3312.553
32768,5,59.894,3419.348
32768,6,61.605,3324.382
32768,7,63.155,3242.814
32768,8,60.540,3382.862
32768,9,59.903,3418.877
32768,10,61.985,3304.011
32768,11,59.240,3457.123
32768,12,61.473,3331.518
32768,13,63.759,3212.098
32768,14,60.560,3381.787
32768,15,61.283,3341.897
32768,16,62.009,3302.756
32768,17,59.935,3417.019
32768,18,59.403,3447.637
32768,19,61.699,3319.319
32768,20,59.739,3428.266
32768,21,61.582,3325.625
32768,22,60.260,3398.615
32768,23,64.450,3177.638
32768,24,61.885,3309.348
32768,25,60.245,3399.428
32768,26,61.538,3328.041
32768,27,62.371,3283.568
32768,28,62.103,3297.772
32768,29,59.087,3466.086
32768,30,62.409,3281.563
40960,1,59.437,3445.662
40960,2,63.649,3217.652
40960,3,60.910,3362.314
40960,4,60.102,3407.565
40960,5,62.154,3295.065
40960,6,61.157,3348.765
40960,7,62.042,3300.984
40960,8,60.835,3366.463
40960,9,60.161,3404.215
40960,10,59.989,3413.946
40960,11,62.091,3298.366
40960,12,63.197,3240.673
40960,13,58.787,3483.750
40960,14,62.215,3291.809
40960,15,61.545,3327.663
40960,16,59.783,3425.699
40960,17,61.796,3314.147
40960,18,59.345,3451.011
40960,19,61.312,3340.285
40960,20,59.352,3450.611
40960,21,61.451,3332.711
40960,22,59.386,3448.636
40960,23,61.252,3343.540
40960,24,64.156,3192.211
40960,25,58.282,3513.954
40960,26,62.489,3277.373
40960,27,57.830,3541.431
40960,28,61.812,3313.268
40960,29,61.567,3326.432
40960,30,59.049,3468.305
49152,1,59.531,3440.222
49152,2,60.670,3375.648
49152,3,59.042,3468.688
49152,4,63.428,3228.871
49152,5,57.769,3545.138
49152,6,57.521,3560.436
49152,7,62.135,3296.050
49152,8,60.620,3378.400
49152,9,58.524,3499.396
49152,10,57.858,3539.679
49152,11,61.635,3322.778
49152,12,60.616,3378.618
49152,13,59.065,3467.340
49152,14,60.521,3383.941
49152,15,58.826,3481.440
49152,16,58.263,3515.096
49152,17,60.182,3403.034
49152,18,60.676,3375.279
49152,19,59.706,3430.168
49152,20,59.291,3454.157
49152,21,64.434,3178.431
49152,22,58.752,3485.838
49152,23,59.418,3446.773
49152,24,61.512,3329.412
49152,25,58.172,3520.587
49152,26,61.218,3345.402
49152,27,60.548,3382.451
