chunk_size,iov_count,run_number,time_ms,throughput_mibps
1024,1,1,266.560,768.307
1024,1,2,192.455,1064.145
1024,1,3,195.595,1047.060
1024,1,4,201.590,1015.922
1024,1,5,195.860,1045.647
1024,1,6,194.023,1055.546
1024,1,7,191.945,1066.971
1024,1,8,191.432,1069.829
1024,1,9,191.315,1070.486
1024,1,10,189.975,1078.035
1024,1,11,190.134,1077.136
1024,1,12,190.385,1075.714
1024,1,13,190.684,1074.029
1024,1,14,191.340,1070.347
1024,1,15,190.856,1073.058
1024,1,16,191.228,1070.970
1024,1,17,190.135,1077.131
1024,1,18,191.263,1070.778
1024,1,19,191.645,1068.641
1024,1,20,191.876,1067.356
1024,1,21,191.479,1069.571
1024,1,22,190.979,1072.371
1024,1,23,190.573,1074.652
1024,1,24,191.566,1069.080
1024,1,25,190.562,1074.715
1024,1,26,198.360,1032.466
1024,1,27,192.978,1061.260
1024,1,28,191.419,1069.906
1024,1,29,191.769,1067.949
1024,1,30,190.549,1074.789
1024,2,1,179.739,1139.432
1024,2,2,119.042,1720.397
1024,2,3,110.823,1847.996
1024,2,4,110.584,1851.982
1024,2,5,110.011,1861.633
1024,2,6,109.631,1868.087
1024,2,7,111.492,1836.897
1024,2,8,110.259,1857.440
1024,2,9,109.956,1862.559
1024,2,10,110.219,1858.118
1024,2,11,109.648,1867.800
1024,2,12,109.316,1873.463
1024,2,13,110.763,1848.993
1024,2,14,110.668,1850.575
1024,2,15,110.646,1850.950
1024,2,16,109.974,1862.262
1024,2,17,109.135,1876.574
1024,2,18,109.410,1871.853
1024,2,19,109.590,1868.775
1024,2,20,110.133,1859.566
1024,2,21,109.707,1866.783
1024,2,22,109.703,1866.867
1024,2,23,109.618,1868.315
1024,2,24,110.080,1860.469
1024,2,25,110.456,1854.134
1024,2,26,112.201,1825.292
1024,2,27,112.829,1815.132
1024,2,28,109.147,1876.366
1024,2,29,109.693,1867.032
1024,2,30,109.847,1864.406
1024,4,1,138.202,1481.884
1024,4,2,71.998,2844.523
1024,4,3,71.808,2852.050
1024,4,4,72.182,2837.270
1024,4,5,71.785,2852.946
1024,4,6,71.416,2867.696
1024,4,7,71.785,2852.972
1024,4,8,71.821,2851.535
1024,4,9,71.364,2869.793
1024,4,10,71.452,2866.265
1024,4,11,71.563,2861.800
1024,4,12,71.472,2865.459
1024,4,13,71.239,2874.816
1024,4,14,71.288,2872.854
1024,4,15,71.961,2845.997
1024,4,16,70.974,2885.578
1024,4,17,71.530,2863.136
1024,4,18,71.892,2848.713
1024,4,19,71.011,2884.079
1024,4,20,71.393,2868.636
1024,4,21,72.006,2844.195
1024,4,22,71.362,2869.880
1024,4,23,71.502,2864.261
1024,4,24,72.331,2831.421
1024,4,25,72.440,2827.165
1024,4,26,72.025,2843.463
1024,4,27,72.853,2811.142
1024,4,28,74.249,2758.271
1024,4,29,71.767,2853.689
1024,4,30,74.759,2739.459
1024,8,1,122.702,1669.084
1024,8,2,56.092,3651.150
1024,8,3,55.797,3670.448
1024,8,4,54.913,3729.537
1024,8,5,54.190,3779.293
1024,8,6,55.374,3698.514
1024,8,7,55.859,3666.376
1024,8,8,56.231,3642.136
1024,8,9,54.780,3738.587
1024,8,10,54.785,3738.255
1024,8,11,54.366,3767.071
1024,8,12,54.107,3785.059
1024,8,13,54.542,3754.931
1024,8,14,54.277,3773.237
1024,8,15,54.464,3760.310
1024,8,16,54.225,3776.881
1024,8,17,54.717,3742.907
1024,8,18,55.551,3686.695
1024,8,19,54.373,3766.547
1024,8,20,54.006,3792.144
1024,8,21,54.595,3751.273
1024,8,22,61.553,3327.220
1024,8,23,54.600,3750.940
1024,8,24,54.423,3763.089
1024,8,25,54.427,3762.811
1024,8,26,54.642,3748.024
1024,8,27,54.707,3743.599
1024,8,28,54.589,3751.700
1024,8,29,54.756,3740.223
1024,8,30,54.634,3748.576
1024,16,1,107.730,1901.045
1024,16,2,44.024,4652.049
1024,16,3,43.365,4722.696
1024,16,4,42.785,4786.675
1024,16,5,43.385,4720.497
1024,16,6,43.235,4736.880
1024,16,7,43.441,4714.396
1024,16,8,43.162,4744.919
1024,16,9,43.265,4733.671
1024,16,10,43.178,4743.193
1024,16,11,42.605,4806.975
1024,16,12,42.868,4777.475
1024,16,13,43.061,4756.089
1024,16,14,43.186,4742.319
1024,16,15,43.685,4688.099
1024,16,16,43.605,4696.668
1024,16,17,43.235,4736.897
1024,16,18,43.527,4705.110
1024,16,19,43.352,4724.088
1024,16,20,43.112,4750.369
1024,16,21,43.686,4688.052
1024,16,22,43.137,4747.716
1024,16,23,43.151,4746.163
1024,16,24,42.873,4776.905
1024,16,25,43.454,4712.985
1024,16,26,43.623,4694.757
1024,16,27,43.680,4688.611
1024,16,28,43.126,4748.850
1024,16,29,43.573,4700.162
1024,16,30,43.299,4729.863
2048,1,1,174.636,1172.722
2048,1,2,109.611,1868.432
2048,1,3,109.288,1873.947
2048,1,4,109.714,1866.674
2048,1,5,109.871,1864.007
2048,1,6,109.931,1862.979
2048,1,7,109.835,1864.622
2048,1,8,109.465,1870.920
2048,1,9,109.149,1876.333
2048,1,10,109.452,1871.132
2048,1,11,109.529,1869.824
2048,1,12,109.810,1865.048
2048,1,13,109.345,1872.971
2048,1,14,109.505,1870.241
2048,1,15,109.631,1868.085
2048,1,16,109.991,1861.967
2048,1,17,109.340,1873.053
2048,1,18,109.580,1868.960
2048,1,19,109.585,1868.867
2048,1,20,109.323,1873.341
2048,1,21,109.611,1868.429
2048,1,22,109.443,1871.297
2048,1,23,109.130,1876.654
2048,1,24,109.798,1865.249
2048,1,25,109.267,1874.304
2048,1,26,109.234,1874.883
2048,1,27,109.146,1876.380
2048,1,28,108.938,1879.970
2048,1,29,110.463,1854.011
2048,1,30,109.745,1866.146
2048,2,1,133.402,1535.214
2048,2,2,70.782,2893.397
2048,2,3,70.227,2916.274
2048,2,4,70.759,2894.348
2048,2,5,70.464,2906.429
2048,2,6,70.816,2891.984
2048,2,7,70.891,2888.947
2048,2,8,70.839,2891.055
2048,2,9,71.002,2884.429
2048,2,10,70.826,2891.583
2048,2,11,71.799,2852.394
2048,2,12,71.381,2869.109
2048,2,13,70.616,2900.197
2048,2,14,70.389,2909.563
2048,2,15,70.863,2890.095
2048,2,16,70.538,2903.415
2048,2,17,70.396,2909.249
2048,2,18,70.833,2891.307
2048,2,19,70.801,2892.616
2048,2,20,71.054,2882.307
2048,2,21,71.041,2882.844
2048,2,22,70.771,2893.836
2048,2,23,70.621,2899.976
2048,2,24,70.800,2892.659
2048,2,25,70.231,2916.085
2048,2,26,70.433,2907.726
2048,2,27,71.189,2876.859
2048,2,28,71.093,2880.744
2048,2,29,70.935,2887.138
2048,2,30,71.001,2884.470
2048,4,1,114.373,1790.635
2048,4,2,53.072,3858.873
2048,4,3,52.472,3903.030
2048,4,4,52.475,3902.823
2048,4,5,52.995,3864.545
2048,4,6,52.480,3902.457
2048,4,7,52.609,3892.852
2048,4,8,52.140,3927.908
2048,4,9,52.863,3874.196
2048,4,10,53.046,3860.796
2048,4,11,52.981,3865.530
2048,4,12,53.260,3845.252
2048,4,13,52.508,3900.357
2048,4,14,52.123,3929.196
2048,4,15,52.190,3924.098
2048,4,16,51.984,3939.658
2048,4,17,52.435,3905.818
2048,4,18,52.400,3908.392
2048,4,19,52.414,3907.365
2048,4,20,52.361,3911.288
2048,4,21,52.142,3927.728
2048,4,22,52.159,3926.427
2048,4,23,52.461,3903.827
2048,4,24,52.227,3921.322
2048,4,25,51.861,3948.993
2048,4,26,52.171,3925.561
2048,4,27,52.249,3919.670
2048,4,28,52.224,3921.574
2048,4,29,52.261,3918.787
2048,4,30,53.009,3863.512
2048,8,1,112.064,1827.533
2048,8,2,42.180,4855.352
2048,8,3,42.625,4804.739
2048,8,4,41.189,4972.166
2048,8,5,41.428,4943.527
2048,8,6,43.196,4741.133
2048,8,7,41.561,4927.644
2048,8,8,41.828,4896.226
2048,8,9,41.516,4933.037
2048,8,10,41.412,4945.427
2048,8,11,41.312,4957.389
2048,8,12,41.599,4923.168
2048,8,13,42.113,4863.121
2048,8,14,41.639,4918.433
2048,8,15,43.711,4685.360
2048,8,16,41.491,4936.002
2048,8,17,41.244,4965.522
2048,8,18,40.804,5019.075
2048,8,19,41.350,4952.870
2048,8,20,41.352,4952.606
2048,8,21,40.742,5026.797
2048,8,22,41.200,4970.884
2048,8,23,41.301,4958.708
2048,8,24,41.031,4991.318
2048,8,25,40.970,4998.787
2048,8,26,41.096,4983.488
2048,8,27,41.315,4957.030
2048,8,28,40.985,4996.985
2048,8,29,40.952,5001.001
2048,8,30,40.737,5027.420
2048,16,1,97.036,2110.555
2048,16,2,36.518,5608.137
2048,16,3,35.591,5754.257
2048,16,4,35.337,5795.695
2048,16,5,36.083,5675.733
2048,16,6,35.608,5751.591
2048,16,7,35.823,5716.997
2048,16,8,35.587,5754.894
2048,16,9,35.608,5751.485
2048,16,10,35.461,5775.292
2048,16,11,35.725,5732.676
2048,16,12,35.323,5797.852
2048,16,13,35.226,5813.927
2048,16,14,35.260,5808.340
2048,16,15,35.887,5706.853
2048,16,16,35.625,5748.727
2048,16,17,35.579,5756.208
2048,16,18,35.532,5763.752
2048,16,19,36.522,5607.531
2048,16,20,37.145,5513.571
2048,16,21,35.208,5816.941
2048,16,22,35.883,5707.457
2048,16,23,35.984,5691.447
2048,16,24,35.601,5752.609
2048,16,25,35.507,5767.901
2048,16,26,35.259,5808.439
2048,16,27,35.681,5739.728
2048,16,28,35.298,5802.088
2048,16,29,35.700,5736.738
2048,16,30,35.822,5717.235
4096,1,1,132.235,1548.759
4096,1,2,67.882,3017.019
4096,1,3,68.020,3010.900
4096,1,4,68.206,3002.690
4096,1,5,75.931,2697.178
4096,1,6,69.529,2945.536
4096,1,7,68.832,2975.367
4096,1,8,68.638,2983.757
4096,1,9,68.904,2972.266
4096,1,10,68.044,3009.825
4096,1,11,68.288,2999.082
4096,1,12,68.727,2979.896
4096,1,13,68.592,2985.779
4096,1,14,68.913,2971.881
4096,1,15,68.538,2988.114
4096,1,16,68.289,2999.027
4096,1,17,68.659,2982.841
4096,1,18,67.997,3011.913
4096,1,19,68.246,3000.910
4096,1,20,68.145,3005.360
4096,1,21,68.326,2997.392
4096,1,22,68.102,3007.242
4096,1,23,68.483,2990.529
4096,1,24,68.449,2992.009
4096,1,25,71.286,2872.924
4096,1,26,70.123,2920.588
4096,1,27,70.096,2921.711
4096,1,28,69.953,2927.699
4096,1,29,70.374,2910.185
4096,1,30,70.332,2911.885
4096,2,1,114.833,1783.455
4096,2,2,52.665,3888.698
4096,2,3,51.919,3944.578
4096,2,4,52.501,3900.871
4096,2,5,52.062,3933.789
4096,2,6,52.400,3908.378
4096,2,7,52.558,3896.617
4096,2,8,52.462,3903.763
4096,2,9,52.647,3890.074
4096,2,10,52.587,3894.532
4096,2,11,52.318,3914.550
4096,2,12,52.466,3903.452
4096,2,13,52.050,3934.654
4096,2,14,52.534,3898.406
4096,2,15,52.677,3887.851
4096,2,16,52.261,3918.778
4096,2,17,52.607,3893.029
4096,2,18,52.433,3905.929
4096,2,19,52.442,3905.291
4096,2,20,52.809,3878.155
4096,2,21,52.218,3921.990
4096,2,22,52.255,3919.228
4096,2,23,52.519,3899.532
4096,2,24,52.473,3902.951
4096,2,25,52.447,3904.892
4096,2,26,52.383,3909.670
4096,2,27,52.130,3928.649
4096,2,28,52.167,3925.864
4096,2,29,52.412,3907.470
4096,2,30,52.250,3919.653
4096,4,1,103.278,1982.994
4096,4,2,39.951,5126.334
4096,4,3,39.393,5198.834
4096,4,4,39.015,5249.239
4096,4,5,38.903,5264.433
4096,4,6,39.541,5179.457
4096,4,7,39.062,5242.962
4096,4,8,39.664,5163.393
4096,4,9,39.659,5164.047
4096,4,10,39.711,5157.238
4096,4,11,39.922,5130.020
4096,4,12,39.812,5144.150
4096,4,13,39.678,5161.610
4096,4,14,39.625,5168.449
4096,4,15,39.729,5154.911
4096,4,16,39.811,5144.296
4096,4,17,39.775,5149.011
4096,4,18,39.457,5190.400
4096,4,19,39.762,5150.655
4096,4,20,39.717,5156.487
4096,4,21,39.502,5184.485
4096,4,22,39.871,5136.588
4096,4,23,39.787,5147.368
4096,4,24,39.825,5142.442
4096,4,25,39.849,5139.345
4096,4,26,39.736,5153.953
4096,4,27,39.955,5125.807
4096,4,28,39.605,5171.040
4096,4,29,39.554,5177.698
4096,4,30,39.700,5158.680
4096,8,1,99.008,2068.511
4096,8,2,35.133,5829.265
4096,8,3,34.635,5913.024
4096,8,4,34.266,5976.771
4096,8,5,34.560,5925.841
4096,8,6,34.370,5958.726
4096,8,7,34.310,5969.165
4096,8,8,34.628,5914.337
4096,8,9,34.415,5950.965
4096,8,10,34.460,5943.134
4096,8,11,34.645,5911.310
4096,8,12,34.104,6005.201
4096,8,13,34.065,6012.100
4096,8,14,34.432,5947.914
4096,8,15,34.408,5952.034
4096,8,16,34.477,5940.201
4096,8,17,34.304,5970.232
4096,8,18,34.646,5911.201
4096,8,19,34.437,5947.130
4096,8,20,34.187,5990.523
4096,8,21,34.127,6001.188
4096,8,22,34.514,5933.743
4096,8,23,34.381,5956.811
4096,8,24,34.086,6008.313
4096,8,25,34.462,5942.769
4096,8,26,34.623,5915.095
4096,8,27,34.769,5890.242
4096,8,28,34.722,5898.258
4096,8,29,34.862,5874.646
4096,8,30,34.561,5925.792
4096,16,1,96.088,2131.385
4096,16,2,33.138,6180.217
4096,16,3,31.924,6415.276
4096,16,4,31.818,6436.659
4096,16,5,31.543,6492.781
4096,16,6,31.753,6449.838
4096,16,7,31.766,6447.100
4096,16,8,32.189,6362.396
4096,16,9,32.534,6294.867
4096,16,10,31.662,6468.335
4096,16,11,31.609,6479.157
4096,16,12,31.706,6459.307
4096,16,13,31.900,6420.085
4096,16,14,32.125,6375.062
4096,16,15,31.930,6413.943
4096,16,16,32.170,6366.268
4096,16,17,31.934,6413.134
4096,16,18,31.818,6436.614
4096,16,19,31.930,6414.011
4096,16,20,32.066,6386.926
4096,16,21,32.187,6362.719
4096,16,22,31.832,6433.697
4096,16,23,32.415,6318.118
4096,16,24,32.256,6349.252
4096,16,25,32.189,6362.495
4096,16,26,31.875,6425.021
4096,16,27,31.727,6455.017
4096,16,28,31.940,6412.084
4096,16,29,31.884,6423.305
4096,16,30,31.521,6497.352
8192,1,1,115.193,1777.884
8192,1,2,52.881,3872.868
8192,1,3,52.343,3912.658
8192,1,4,52.452,3904.555
8192,1,5,52.291,3916.563
8192,1,6,52.723,3884.450
8192,1,7,52.737,3883.440
8192,1,8,53.064,3859.498
8192,1,9,52.237,3920.576
8192,1,10,57.143,3583.997
8192,1,11,52.099,3930.983
8192,1,12,52.586,3894.566
8192,1,13,51.949,3942.319
8192,1,14,51.904,3945.741
8192,1,15,52.129,3928.710
8192,1,16,52.156,3926.698
8192,1,17,52.385,3909.515
8192,1,18,52.075,3932.802
8192,1,19,52.333,3913.377
8192,1,20,52.257,3919.059
8192,1,21,51.818,3952.284
8192,1,22,52.148,3927.274
8192,1,23,52.349,3912.171
8192,1,24,52.046,3935.013
8192,1,25,52.244,3920.081
8192,1,26,52.102,3930.745
8192,1,27,52.231,3921.038
8192,1,28,52.183,3924.629
8192,1,29,52.200,3923.409
8192,1,30,52.058,3934.101
8192,2,1,105.233,1946.158
8192,2,2,40.021,5117.289
8192,2,3,39.349,5204.666
8192,2,4,39.762,5150.639
8192,2,5,39.618,5169.411
8192,2,6,39.896,5133.410
8192,2,7,39.855,5138.580
8192,2,8,39.834,5141.322
8192,2,9,40.233,5090.321
8192,2,10,39.825,5142.512
8192,2,11,39.316,5209.013
8192,2,12,39.628,5168.072
8192,2,13,39.996,5120.500
8192,2,14,40.044,5114.369
8192,2,15,39.013,5249.482
8192,2,16,39.786,5147.549
8192,2,17,39.061,5243.143
8192,2,18,39.716,5156.609
8192,2,19,39.442,5192.436
8192,2,20,39.953,5125.981
8192,2,21,40.133,5103.029
8192,2,22,39.863,5137.568
8192,2,23,40.009,5118.885
8192,2,24,39.748,5152.426
8192,2,25,39.550,5178.222
8192,2,26,39.654,5164.650
8192,2,27,39.498,5185.113
8192,2,28,40.007,5119.060
8192,2,29,39.675,5161.997
8192,2,30,39.860,5137.937
8192,4,1,99.703,2054.093
8192,4,2,35.073,5839.209
8192,4,3,34.139,5999.073
8192,4,4,34.040,6016.393
8192,4,5,34.213,5986.108
8192,4,6,34.273,5975.514
8192,4,7,34.523,5932.273
8192,4,8,34.307,5969.685
8192,4,9,34.899,5868.380
8192,4,10,34.274,5975.301
8192,4,11,34.411,5951.614
8192,4,12,34.570,5924.230
8192,4,13,34.607,5917.883
8192,4,14,34.035,6017.279
8192,4,15,34.416,5950.756
8192,4,16,34.414,5951.017
8192,4,17,34.333,5965.159
8192,4,18,34.200,5988.302
8192,4,19,34.346,5962.843
8192,4,20,34.263,5977.378
8192,4,21,34.488,5938.269
8192,4,22,34.226,5983.691
8192,4,23,34.532,5930.738
8192,4,24,34.439,5946.708
8192,4,25,34.605,5918.170
8192,4,26,34.152,5996.734
8192,4,27,34.202,5987.881
8192,4,28,34.305,5970.006
8192,4,29,34.078,6009.827
8192,4,30,34.337,5964.412
8192,8,1,95.945,2134.561
8192,8,2,32.337,6333.243
8192,8,3,31.670,6466.689
8192,8,4,31.594,6482.207
8192,8,5,31.505,6500.529
8192,8,6,31.474,6506.863
8192,8,7,31.760,6448.378
8192,8,8,32.461,6309.065
8192,8,9,31.202,6563.604
8192,8,10,31.349,6532.822
8192,8,11,31.356,6531.369
8192,8,12,31.279,6547.596
8192,8,13,31.418,6518.602
8192,8,14,31.746,6451.188
8192,8,15,32.466,6308.103
8192,8,16,32.585,6285.009
8192,8,17,32.171,6365.886
8192,8,18,32.305,6339.606
8192,8,19,31.231,6557.647
8192,8,20,31.419,6518.435
8192,8,21,31.532,6495.020
8192,8,22,31.352,6532.258
8192,8,23,31.288,6545.606
8192,8,24,31.343,6534.142
8192,8,25,31.203,6563.469
8192,8,26,31.528,6495.782
8192,8,27,31.403,6521.700
8192,8,28,31.305,6542.007
8192,8,29,31.517,6498.074
8192,8,30,31.224,6558.989
8192,16,1,93.724,2185.128
8192,16,2,31.596,6481.799
8192,16,3,30.132,6796.794
8192,16,4,30.376,6742.247
8192,16,5,30.382,6740.740
8192,16,6,30.312,6756.354
8192,16,7,30.310,6756.910
8192,16,8,30.265,6766.983
8192,16,9,30.284,6762.686
8192,16,10,30.182,6785.418
8192,16,11,30.407,6735.180
8192,16,12,30.183,6785.258
8192,16,13,30.419,6732.534
8192,16,14,30.553,6703.115
8192,16,15,30.419,6732.722
8192,16,16,30.335,6751.168
8192,16,17,30.617,6689.147
8192,16,18,30.304,6758.168
8192,16,19,30.247,6770.869
8192,16,20,30.296,6759.982
8192,16,21,30.314,6755.905
8192,16,22,30.300,6759.113
8192,16,23,30.394,6738.078
8192,16,24,30.325,6753.434
8192,16,25,30.429,6730.497
8192,16,26,30.397,6737.420
8192,16,27,30.369,6743.800
8192,16,28,30.401,6736.574
8192,16,29,30.390,6738.993
8192,16,30,30.355,6746.769
16384,1,1,103.376,1981.109
16384,1,2,40.134,5102.896
16384,1,3,39.429,5194.117
16384,1,4,39.288,5212.775
16384,1,5,39.325,5207.902
16384,1,6,39.684,5160.758
16384,1,7,39.772,5149.336
16384,1,8,39.553,5177.898
16384,1,9,39.640,5166.532
16384,1,10,39.660,5163.955
16384,1,11,41.350,4952.855
16384,1,12,40.084,5109.254
16384,1,13,40.439,5064.474
16384,1,14,40.393,5070.177
16384,1,15,39.374,5201.461
16384,1,16,39.169,5228.644
16384,1,17,39.203,5224.079
16384,1,18,39.204,5223.982
16384,1,19,39.307,5210.221
16384,1,20,40.094,5108.059
16384,1,21,41.467,4938.821
16384,1,22,40.893,5008.142
16384,1,23,39.868,5136.920
16384,1,24,39.347,5205.018
16384,1,25,39.097,5238.282
16384,1,26,39.315,5209.247
16384,1,27,38.842,5272.613
16384,1,28,39.415,5195.961
16384,1,29,39.493,5185.747
16384,1,30,39.062,5242.978
16384,2,1,100.620,2035.389
16384,2,2,35.019,5848.285
16384,2,3,35.143,5827.610
16384,2,4,35.523,5765.333
16384,2,5,36.712,5578.494
16384,2,6,34.635,5913.141
16384,2,7,34.376,5957.717
16384,2,8,33.993,6024.798
16384,2,9,34.196,5989.087
16384,2,10,33.944,6033.405
16384,2,11,34.114,6003.454
16384,2,12,34.183,5991.313
16384,2,13,34.130,6000.516
16384,2,14,33.899,6041.533
16384,2,15,34.031,6018.052
16384,2,16,33.749,6068.271
16384,2,17,34.291,5972.452
16384,2,18,34.191,5989.817
16384,2,19,34.080,6009.453
16384,2,20,33.965,6029.762
16384,2,21,33.542,6105.856
16384,2,22,33.950,6032.374
16384,2,23,33.929,6036.214
16384,2,24,34.234,5982.324
16384,2,25,34.127,6001.166
16384,2,26,33.579,6098.972
16384,2,27,33.675,6081.707
16384,2,28,33.915,6038.714
16384,2,29,33.956,6031.270
16384,2,30,33.964,6029.854
16384,4,1,93.677,2186.239
16384,4,2,32.290,6342.463
16384,4,3,33.431,6126.060
16384,4,4,34.543,5928.829
16384,4,5,32.378,6325.321
16384,4,6,32.000,6400.068
16384,4,7,31.249,6553.899
16384,4,8,32.003,6399.463
16384,4,9,31.040,6597.908
16384,4,10,30.733,6663.813
16384,4,11,31.099,6585.402
16384,4,12,31.229,6557.915
16384,4,13,30.752,6659.753
16384,4,14,31.149,6574.923
16384,4,15,31.571,6486.931
16384,4,16,31.156,6573.430
16384,4,17,30.993,6608.041
16384,4,18,31.162,6572.080
16384,4,19,31.589,6483.340
16384,4,20,31.255,6552.531
16384,4,21,30.877,6632.712
16384,4,22,30.966,6613.681
16384,4,23,31.071,6591.316
16384,4,24,30.916,6624.465
16384,4,25,30.955,6616.111
16384,4,26,31.384,6525.551
16384,4,27,31.204,6563.272
16384,4,28,31.612,6478.475
16384,4,29,30.698,6671.514
16384,4,30,30.955,6616.149
16384,8,1,93.345,2194.007
16384,8,2,30.648,6682.382
16384,8,3,29.604,6917.936
16384,8,4,29.486,6945.652
16384,8,5,29.691,6897.635
16384,8,6,29.664,6903.930
16384,8,7,29.683,6899.638
16384,8,8,29.685,6899.039
16384,8,9,29.578,6924.075
16384,8,10,29.856,6859.648
16384,8,11,29.765,6880.452
16384,8,12,29.822,6867.445
16384,8,13,29.741,6886.010
16384,8,14,30.151,6792.407
16384,8,15,29.964,6834.867
16384,8,16,30.219,6777.109
16384,8,17,30.224,6776.040
16384,8,18,30.097,6804.765
16384,8,19,30.243,6771.898
16384,8,20,29.648,6907.628
16384,8,21,29.654,6906.204
16384,8,22,29.857,6859.418
16384,8,23,29.770,6879.440
16384,8,24,29.874,6855.470
16384,8,25,29.885,6852.924
16384,8,26,29.935,6841.409
16384,8,27,29.984,6830.197
16384,8,28,29.997,6827.292
16384,8,29,29.999,6826.834
16384,8,30,29.896,6850.351
16384,16,1,93.662,2186.580
16384,16,2,29.547,6931.427
16384,16,3,29.304,6988.852
16384,16,4,29.427,6959.503
16384,16,5,29.105,7036.521
16384,16,6,29.232,7006.096
16384,16,7,29.368,6973.558
16384,16,8,29.320,6985.016
16384,16,9,29.112,7035.017
16384,16,10,29.241,7003.852
16384,16,11,29.301,6989.518
16384,16,12,29.186,7017.075
16384,16,13,29.323,6984.364
16384,16,14,29.434,6957.942
16384,16,15,29.635,6910.776
16384,16,16,29.293,6991.399
16384,16,17,29.361,6975.248
16384,16,18,29.678,6900.758
16384,16,19,29.420,6961.259
16384,16,20,28.983,7066.103
16384,16,21,29.240,7004.082
16384,16,22,29.403,6965.211
16384,16,23,29.296,6990.599
16384,16,24,29.275,6995.793
16384,16,25,29.308,6987.946
16384,16,26,29.124,7031.912
