chunk_size,iov_count,run_number,time_ms,throughput_mibps
1024,1,1,288.181,710.664
1024,1,2,289.691,706.960
1024,1,3,290.254,705.590
1024,1,4,290.608,704.730
1024,1,5,283.630,722.067
1024,1,6,287.192,713.111
1024,1,7,285.534,717.252
1024,1,8,287.206,713.076
1024,1,9,285.296,717.850
1024,1,10,288.783,709.183
1024,1,11,285.367,717.672
1024,1,12,288.192,710.637
1024,1,13,288.798,709.146
1024,1,14,287.980,711.161
1024,1,15,285.917,716.292
1024,1,16,287.745,711.740
1024,1,17,285.994,716.100
1024,1,18,287.872,711.427
1024,1,19,286.070,715.909
1024,1,20,287.962,711.204
1024,1,21,289.007,708.634
1024,1,22,288.809,709.119
1024,1,23,287.029,713.516
1024,1,24,287.542,712.244
1024,1,25,286.819,714.038
1024,1,26,289.204,708.151
1024,1,27,285.461,717.436
1024,1,28,289.243,708.055
1024,1,29,287.592,712.121
1024,1,30,288.599,709.636
1024,2,1,195.524,1047.441
1024,2,2,198.178,1033.415
1024,2,3,196.371,1042.925
1024,2,4,197.381,1037.589
1024,2,5,199.843,1024.806
1024,2,6,195.636,1046.842
1024,2,7,199.553,1026.294
1024,2,8,195.365,1048.295
1024,2,9,198.505,1031.712
1024,2,10,199.517,1026.477
1024,2,11,198.910,1029.609
1024,2,12,200.424,1021.833
1024,2,13,197.231,1038.375
1024,2,14,197.561,1036.641
1024,2,15,198.088,1033.883
1024,2,16,198.999,1029.151
1024,2,17,198.463,1031.933
1024,2,18,194.539,1052.744
1024,2,19,198.352,1032.510
1024,2,20,195.124,1049.588
1024,2,21,197.227,1038.399
1024,2,22,198.668,1030.868
1024,2,23,195.424,1047.975
1024,2,24,201.444,1016.658
1024,2,25,197.866,1035.044
1024,2,26,197.904,1034.843
1024,2,27,196.336,1043.107
1024,2,28,198.491,1031.784
1024,2,29,196.736,1040.989
1024,2,30,197.055,1039.303
1024,4,1,147.325,1390.127
1024,4,2,151.119,1355.226
1024,4,3,146.268,1400.173
1024,4,4,147.226,1391.059
1024,4,5,148.529,1378.852
1024,4,6,145.972,1403.006
1024,4,7,147.224,1391.081
1024,4,8,145.997,1402.769
1024,4,9,147.449,1388.952
1024,4,10,149.374,1371.057
1024,4,11,146.902,1394.125
1024,4,12,147.998,1383.802
1024,4,13,146.980,1393.388
1024,4,14,146.907,1394.081
1024,4,15,147.738,1386.240
1024,4,16,150.134,1364.119
1024,4,17,147.286,1390.493
1024,4,18,145.822,1404.452
1024,4,19,146.197,1400.847
1024,4,20,147.590,1387.625
1024,4,21,147.077,1392.465
1024,4,22,147.276,1390.589
1024,4,23,146.034,1402.413
1024,4,24,147.811,1385.553
1024,4,25,145.887,1403.823
1024,4,26,147.413,1389.298
