chunk_size,run_number,time_ms,throughput_mibps
8192,1,109.648,1867.791
8192,2,113.659,1801.876
8192,3,113.826,1799.230
8192,4,109.513,1870.094
8192,5,111.109,1843.228
8192,6,109.873,1863.963
8192,7,109.655,1867.678
8192,8,109.273,1874.202
8192,9,110.095,1860.212
8192,10,109.680,1867.245
8192,11,110.758,1849.080
8192,12,110.077,1860.520
8192,13,110.540,1852.720
8192,14,111.829,1831.371
8192,15,110.512,1853.184
8192,16,110.933,1846.161
8192,17,110.375,1855.488
8192,18,110.159,1859.126
8192,19,109.986,1862.052
8192,20,110.106,1860.023
8192,21,109.720,1866.565
8192,22,110.380,1855.403
8192,23,109.544,1869.573
8192,24,110.337,1856.132
8192,25,109.893,1863.627
8192,26,110.055,1860.890
8192,27,109.998,1861.856
8192,28,110.018,1861.522
8192,29,110.223,1858.059
8192,30,109.958,1862.529
16384,1,75.307,2719.552
16384,2,75.459,2714.070
16384,3,75.094,2727.254
16384,4,76.057,2692.734
16384,5,76.264,2685.400
16384,6,76.742,2668.687
16384,7,75.740,2703.976
16384,8,75.960,2696.142
16384,9,75.569,2710.108
16384,10,75.972,2695.735
16384,11,75.657,2706.950
16384,12,77.499,2642.612
16384,13,75.650,2707.220
16384,14,75.653,2707.105
16384,15,76.299,2684.164
16384,16,75.552,2710.702
16384,17,74.788,2738.418
16384,18,75.264,2721.095
16384,19,75.854,2699.913
16384,20,75.738,2704.048
16384,21,76.159,2689.099
16384,22,75.261,2721.213
16384,23,75.335,2718.541
16384,24,76.315,2683.617
16384,25,77.039,2658.390
16384,26,75.292,2720.074
16384,27,75.301,2719.736
16384,28,75.072,2728.054
16384,29,76.833,2665.517
16384,30,76.233,2686.509
24576,1,66.208,3093.293
24576,2,66.922,3060.281
24576,3,66.782,3066.680
24576,4,66.400,3084.336
24576,5,66.778,3066.896
24576,6,66.745,3068.394
24576,7,66.821,3064.893
24576,8,67.322,3042.089
24576,9,66.681,3071.343
24576,10,66.384,3085.097
24576,11,66.965,3058.318
24576,12,66.760,3067.714
24576,13,66.703,3070.325
24576,14,66.656,3072.481
24576,15,66.881,3062.147
24576,16,66.902,3061.212
24576,17,67.173,3048.835
24576,18,67.425,3037.469
24576,19,66.351,3086.604
24576,20,67.951,3013.932
24576,21,67.097,3052.310
24576,22,66.679,3071.440
24576,23,66.382,3085.172
24576,24,66.190,3094.119
24576,25,67.559,3031.414
24576,26,67.633,3028.129
24576,27,66.693,3070.786
