chunk_size,run_number,time_ms,throughput_mibps
8192,1,176.580,1159.813
8192,2,178.841,1145.152
8192,3,182.010,1125.211
8192,4,177.180,1155.887
8192,5,187.561,1091.912
8192,6,180.599,1134.004
8192,7,182.716,1120.867
8192,8,181.699,1127.139
8192,9,180.053,1137.441
8192,10,179.067,1143.703
8192,11,183.633,1115.267
8192,12,185.150,1106.129
8192,13,181.887,1125.975
8192,14,180.824,1132.593
8192,15,178.520,1147.213
8192,16,179.401,1141.576
8192,17,176.868,1157.924
8192,18,178.533,1147.127
8192,19,180.486,1134.714
8192,20,180.199,1136.519
8192,21,178.969,1144.332
8192,22,180.706,1133.330
8192,23,178.318,1148.511
8192,24,177.878,1151.351
8192,25,178.354,1148.278
8192,26,177.900,1151.210
8192,27,178.417,1147.871
8192,28,179.077,1143.641
8192,29,181.549,1128.071
8192,30,179.609,1140.251
16384,1,139.539,1467.694
16384,2,143.845,1423.752
16384,3,146.906,1394.090
16384,4,141.799,1444.297
16384,5,139.216,1471.090
16384,6,144.944,1412.963
16384,7,143.758,1424.621
16384,8,143.171,1430.461
16384,9,138.420,1479.552
16384,10,141.175,1450.683
16384,11,140.548,1457.152
16384,12,139.184,1471.432
16384,13,140.392,1458.778
16384,14,140.507,1457.574
16384,15,140.475,1457.914
16384,16,138.958,1473.828
16384,17,140.453,1458.142
16384,18,140.127,1461.533
16384,19,143.249,1429.680
16384,20,137.595,1488.421
16384,21,139.300,1470.208
16384,22,139.005,1473.329
16384,23,139.138,1471.919
16384,24,141.795,1444.343
16384,25,140.391,1458.781
16384,26,140.965,1452.839
16384,27,140.685,1455.734
16384,28,142.463,1437.563
16384,29,139.979,1463.080
16384,30,140.540,1457.234
24576,1,123.942,1652.392
24576,2,121.244,1689.161
24576,3,120.515,1699.373
24576,4,120.253,1703.073
24576,5,122.379,1673.486
24576,6,120.692,1696.884
24576,7,120.025,1706.314
24576,8,122.150,1676.622
24576,9,120.206,1703.737
24576,10,123.326,1660.643
24576,11,120.553,1698.831
24576,12,121.693,1682.922
24576,13,122.792,1667.864
24576,14,121.458,1686.181
24576,15,121.319,1688.106
24576,16,120.271,1702.824
24576,17,122.497,1671.879
24576,18,121.094,1691.248
24576,19,122.087,1677.496
24576,20,124.194,1649.032
24576,21,121.596,1684.266
24576,22,125.315,1634.283
24576,23,120.235,1703.329
24576,24,120.374,1701.357
24576,25,120.890,1694.097
24576,26,121.220,1689.483
24576,27,122.709,1668.994
24576,28,128.163,1597.960
24576,29,125.287,1634.645
24576,30,120.726,1696.399
32768,1,113.303,1807.546
32768,2,114.616,1786.829
32768,3,113.786,1799.870
32768,4,113.284,1807.847
32768,5,113.010,1812.225
32768,6,115.728,1769.661
32768,7,115.682,1770.368
32768,8,113.412,1805.806
32768,9,112.690,1817.368
32768,10,112.766,1816.156
32768,11,113.081,1811.092
32768,12,113.822,1799.304
32768,13,112.192,1825.440
32768,14,111.717,1833.203
32768,15,117.239,1746.859
32768,16,116.291,1761.096
32768,17,112.699,1817.231
32768,18,112.878,1814.343
32768,19,112.967,1812.920
32768,20,111.690,1833.640
32768,21,112.806,1815.508
32768,22,111.914,1829.978
32768,23,112.081,1827.254
32768,24,111.782,1832.143
32768,25,116.716,1754.685
32768,26,112.632,1818.307
32768,27,113.696,1801.291
32768,28,112.591,1818.980
32768,29,115.151,1778.539
32768,30,115.860,1767.652
40960,1,110.581,1852.044
40960,2,109.374,1872.479
40960,3,108.738,1883.420
