chunk_size,run_number,time_ms,throughput_mibps
8192,1,169.573,1207.739
8192,2,100.578,2036.221
8192,3,100.075,2046.460
8192,4,100.816,2031.414
8192,5,98.750,2073.931
8192,6,99.657,2055.046
8192,7,98.773,2073.447
8192,8,99.743,2053.278
8192,9,113.055,1811.511
8192,10,100.464,2038.543
8192,11,98.241,2084.677
8192,12,100.497,2037.868
8192,13,99.525,2057.785
8192,14,101.987,2008.090
8192,15,100.057,2046.833
8192,16,100.578,2036.233
8192,17,99.555,2057.155
8192,18,99.821,2051.665
8192,19,99.472,2058.865
8192,20,99.254,2063.384
8192,21,98.829,2072.256
8192,22,99.148,2065.599
8192,23,100.067,2046.622
8192,24,100.013,2047.744
8192,25,100.368,2040.482
8192,26,99.785,2052.404
8192,27,98.894,2070.902
8192,28,99.741,2053.311
8192,29,100.988,2027.960
8192,30,100.293,2042.014
16384,1,71.051,2882.436
16384,2,74.910,2733.959
16384,3,72.090,2840.912
16384,4,71.063,2881.932
16384,5,71.704,2856.199
16384,6,72.182,2837.272
16384,7,72.035,2843.055
16384,8,72.071,2841.661
16384,9,70.732,2895.434
16384,10,71.631,2859.082
16384,11,71.777,2853.287
16384,12,71.126,2879.387
16384,13,73.768,2776.255
16384,14,70.704,2896.585
16384,15,72.243,2834.872
16384,16,70.809,2892.290
16384,17,71.366,2869.705
16384,18,71.436,2866.888
16384,19,71.432,2867.072
16384,20,71.984,2845.077
16384,21,72.115,2839.891
16384,22,71.303,2872.248
16384,23,71.793,2852.660
16384,24,71.766,2853.728
16384,25,72.865,2810.694
16384,26,72.074,2841.507
16384,27,71.306,2872.126
16384,28,71.447,2866.444
16384,29,72.353,2830.568
16384,30,71.251,2874.348
24576,1,58.491,3501.369
24576,2,58.566,3496.880
24576,3,58.514,3500.012
24576,4,58.923,3475.704
24576,5,59.657,3432.978
24576,6,58.129,3523.221
24576,7,57.738,3547.060
24576,8,58.464,3503.005
24576,9,59.051,3468.172
24576,10,59.673,3432.015
24576,11,59.022,3469.869
24576,12,58.675,3490.394
24576,13,59.454,3444.657
24576,14,59.603,3436.062
24576,15,58.426,3505.312
24576,16,58.979,3472.449
24576,17,58.833,3481.056
24576,18,57.925,3535.634
24576,19,58.405,3506.541
24576,20,58.549,3497.898
24576,21,57.938,3534.818
24576,22,58.416,3505.905
24576,23,58.670,3490.718
24576,24,58.964,3473.291
24576,25,58.414,3505.986
24576,26,58.380,3508.073
24576,27,58.586,3495.689
24576,28,59.239,3457.191
24576,29,58.780,3484.191
24576,30,58.094,3525.348
32768,1,52.905,3871.112
32768,2,55.257,3706.297
32768,3,52.397,3908.623
32768,4,53.493,3828.561
32768,5,52.702,3886.036
32768,6,52.741,3883.139
32768,7,52.387,3909.363
32768,8,52.729,3884.022
32768,9,52.536,3898.296
32768,10,52.909,3870.765
32768,11,52.512,3900.035
32768,12,52.892,3872.054
32768,13,52.627,3891.519
