chunk_size,run_number,time_ms,throughput_mibps
8192,1,174.228,1175.473
8192,2,170.831,1198.846
8192,3,176.516,1160.233
8192,4,173.434,1180.849
8192,5,172.137,1189.751
8192,6,178.192,1149.321
8192,7,173.250,1182.104
8192,8,173.649,1179.390
8192,9,171.564,1193.720
8192,10,172.623,1186.400
8192,11,168.748,1213.642
8192,12,174.351,1174.643
8192,13,170.140,1203.713
8192,14,177.184,1155.861
8192,15,178.682,1146.167
8192,16,180.574,1134.160
8192,17,176.196,1162.343
8192,18,170.435,1201.633
8192,19,174.787,1171.710
8192,20,170.260,1202.867
8192,21,173.518,1180.279
8192,22,172.930,1184.297
8192,23,170.648,1200.129
8192,24,170.757,1199.366
8192,25,174.544,1173.345
8192,26,171.933,1191.159
8192,27,171.467,1194.401
8192,28,170.760,1199.341
8192,29,172.296,1188.653
8192,30,175.564,1166.524
16384,1,131.554,1556.771
16384,2,134.486,1522.832
16384,3,132.723,1543.062
16384,4,130.707,1566.866
16384,5,135.245,1514.284
16384,6,131.684,1555.244
16384,7,130.279,1572.011
16384,8,132.394,1546.899
16384,9,132.319,1547.778
16384,10,138.913,1474.301
16384,11,136.491,1500.465
16384,12,133.612,1532.793
16384,13,129.172,1585.481
16384,14,134.756,1519.787
16384,15,130.806,1565.677
16384,16,131.646,1555.685
16384,17,132.333,1547.607
16384,18,134.160,1526.540
16384,19,133.191,1537.643
16384,20,132.443,1546.324
16384,21,130.927,1564.229
16384,22,131.527,1557.093
16384,23,131.398,1558.629
16384,24,136.796,1497.119
16384,25,130.039,1574.918
16384,26,131.118,1561.950
16384,27,130.879,1564.806
16384,28,131.299,1559.801
16384,29,130.903,1564.520
16384,30,131.455,1557.946
24576,1,116.727,1754.527
24576,2,118.512,1728.097
24576,3,117.236,1746.906
24576,4,120.458,1700.173
24576,5,119.101,1719.545
24576,6,117.266,1746.451
24576,7,121.244,1689.157
24576,8,123.328,1660.611
24576,9,117.787,1738.727
24576,10,117.323,1745.601
24576,11,116.360,1760.062
24576,12,117.178,1747.763
24576,13,121.838,1680.917
24576,14,116.665,1755.455
24576,15,123.662,1656.133
24576,16,118.697,1725.408
24576,17,120.201,1703.818
24576,18,116.895,1752.003
24576,19,117.054,1749.621
24576,20,117.993,1735.693
24576,21,116.214,1762.271
24576,22,115.472,1773.598
24576,23,117.056,1749.585
24576,24,120.354,1701.647
24576,25,120.954,1693.201
24576,26,116.703,1754.883
24576,27,117.695,1740.095
24576,28,115.835,1768.031
24576,29,117.668,1740.492
24576,30,115.854,1767.748
