chunk_size,iov_count,run_number,time_ms,throughput_mibps
1024,1,1,4936.769,41.485
1024,1,2,4801.646,42.652
1024,1,3,4824.906,42.446
1024,1,4,4907.810,41.729
1024,1,5,4832.924,42.376
1024,1,6,4860.016,42.140
1024,1,7,4796.663,42.696
1024,1,8,4759.198,43.032
1024,1,9,4813.762,42.545
1024,1,10,4861.698,42.125
1024,1,11,4850.549,42.222
1024,1,12,4825.131,42.444
1024,1,13,4860.749,42.133
1024,1,14,4811.388,42.566
1024,1,15,4877.195,41.991
1024,1,16,4904.411,41.758
1024,1,17,4765.766,42.973
1024,1,18,4792.224,42.736
1024,1,19,4866.128,42.087
1024,1,20,4856.551,42.170
1024,1,21,4831.181,42.391
1024,1,22,4797.323,42.690
1024,1,23,4830.622,42.396
1024,1,24,4839.439,42.319
1024,1,25,4839.374,42.320
1024,1,26,4842.346,42.294
1024,1,27,4813.657,42.546
1024,1,28,4783.725,42.812
1024,1,29,4820.905,42.482
1024,1,30,4870.645,42.048
1024,2,1,2422.419,84.544
1024,2,2,2461.175,83.212
1024,2,3,2414.120,84.834
1024,2,4,2459.709,83.262
1024,2,5,2469.811,82.921
1024,2,6,2485.673,82.392
1024,2,7,2449.764,83.600
1024,2,8,2435.446,84.091
1024,2,9,2429.382,84.301
1024,2,10,2469.537,82.931
1024,2,11,2462.839,83.156
1024,2,12,2471.434,82.867
1024,2,13,2440.849,83.905
1024,2,14,2449.427,83.611
1024,2,15,2409.850,84.985
1024,2,16,2479.593,82.594
1024,2,17,2435.538,84.088
1024,2,18,2490.184,82.243
1024,2,19,2398.824,85.375
1024,2,20,2425.956,84.420
1024,2,21,2478.894,82.617
1024,2,22,2455.337,83.410
1024,2,23,2469.587,82.929
1024,2,24,2427.345,84.372
1024,2,25,2440.565,83.915
1024,2,26,2451.518,83.540
1024,2,27,2449.566,83.607
1024,2,28,2448.941,83.628
1024,2,29,2464.942,83.085
1024,2,30,2461.176,83.212
1024,4,1,1277.867,160.267
1024,4,2,1275.401,160.577
1024,4,3,1261.332,162.368
1024,4,4,1278.391,160.201
1024,4,5,1262.057,162.275
1024,4,6,1297.172,157.882
1024,4,7,1250.118,163.825
1024,4,8,1257.917,162.809
1024,4,9,1259.872,162.556
1024,4,10,1254.820,163.211
1024,4,11,1271.358,161.088
1024,4,12,1263.302,162.115
1024,4,13,1255.805,163.083
1024,4,14,1262.212,162.255
1024,4,15,1289.205,158.858
1024,4,16,1268.717,161.423
1024,4,17,1281.620,159.798
1024,4,18,1248.591,164.025
1024,4,19,1246.398,164.313
1024,4,20,1263.118,162.138
1024,4,21,1258.038,162.793
1024,4,22,1262.808,162.178
1024,4,23,1268.366,161.468
1024,4,24,1277.824,160.272
1024,4,25,1260.440,162.483
1024,4,26,1271.722,161.041
1024,4,27,1280.250,159.969
1024,4,28,1244.205,164.603
1024,4,29,1279.340,160.083
1024,4,30,1292.048,158.508
1024,8,1,677.464,302.304
1024,8,2,674.878,303.462
1024,8,3,659.182,310.688
1024,8,4,666.016,307.500
1024,8,5,672.863,304.371
1024,8,6,672.596,304.492
1024,8,7,679.845,301.245
1024,8,8,687.483,297.898
1024,8,9,676.715,302.638
1024,8,10,666.069,307.475
1024,8,11,676.647,302.669
1024,8,12,676.111,302.909
1024,8,13,671.825,304.841
1024,8,14,678.254,301.952
1024,8,15,674.376,303.688
1024,8,16,676.324,302.813
1024,8,17,670.552,305.420
1024,8,18,663.153,308.828
1024,8,19,666.009,307.503
1024,8,20,672.695,304.447
1024,8,21,667.107,306.997
1024,8,22,678.348,301.910
1024,8,23,696.494,294.044
1024,8,24,681.830,300.368
1024,8,25,673.184,304.226
1024,8,26,668.895,306.176
1024,8,27,680.134,301.117
1024,8,28,685.395,298.806
1024,8,29,676.690,302.650
1024,8,30,683.586,299.596
1024,16,1,368.845,555.247
1024,16,2,377.598,542.376
1024,16,3,371.201,551.722
1024,16,4,380.237,538.612
1024,16,5,371.093,551.884
1024,16,6,381.971,536.166
1024,16,7,375.794,544.980
1024,16,8,372.910,549.194
1024,16,9,367.744,556.909
1024,16,10,368.249,556.146
1024,16,11,373.361,548.531
1024,16,12,379.588,539.532
1024,16,13,374.714,546.550
1024,16,14,368.264,556.123
1024,16,15,361.812,566.040
1024,16,16,376.336,544.195
1024,16,17,372.405,549.939
1024,16,18,365.610,560.160
1024,16,19,377.984,541.822
1024,16,20,380.702,537.953
1024,16,21,375.021,546.102
1024,16,22,373.937,547.685
1024,16,23,367.437,557.375
1024,16,24,369.180,554.743
1024,16,25,354.926,577.021
1024,16,26,378.739,540.742
1024,16,27,368.669,555.511
1024,16,28,366.991,558.052
1024,16,29,383.403,534.163
1024,16,30,374.239,547.244
2048,1,1,2448.472,83.644
2048,1,2,2425.133,84.449
2048,1,3,2419.989,84.628
2048,1,4,2465.501,83.066
2048,1,5,2455.397,83.408
2048,1,6,2457.386,83.341
2048,1,7,2452.619,83.503
2048,1,8,2431.001,84.245
2048,1,9,2433.277,84.166
2048,1,10,2423.474,84.507
2048,1,11,2435.280,84.097
2048,1,12,2422.580,84.538
2048,1,13,2474.147,82.776
2048,1,14,2433.493,84.159
2048,1,15,2438.652,83.981
2048,1,16,2462.318,83.174
2048,1,17,2429.199,84.308
2048,1,18,2434.667,84.118
2048,1,19,2458.520,83.302
2048,1,20,2457.184,83.347
2048,1,21,2456.223,83.380
2048,1,22,2416.102,84.765
2048,1,23,2467.278,83.006
2048,1,24,2480.591,82.561
2048,1,25,2463.138,83.146
2048,1,26,2440.648,83.912
2048,1,27,2470.576,82.896
2048,1,28,2462.217,83.177
2048,1,29,2444.822,83.769
2048,1,30,2449.273,83.617
2048,2,1,1257.948,162.805
2048,2,2,1274.135,160.737
2048,2,3,1247.904,164.115
2048,2,4,1242.080,164.885
2048,2,5,1275.497,160.565
2048,2,6,1252.845,163.468
2048,2,7,1263.237,162.123
2048,2,8,1245.479,164.435
2048,2,9,1237.498,165.495
2048,2,10,1225.859,167.067
2048,2,11,1251.270,163.674
2048,2,12,1277.281,160.341
2048,2,13,1270.021,161.257
2048,2,14,1263.463,162.094
2048,2,15,1263.460,162.095
2048,2,16,1232.309,166.192
2048,2,17,1265.411,161.845
2048,2,18,1250.986,163.711
2048,2,19,1256.787,162.955
2048,2,20,1244.007,164.629
2048,2,21,1260.389,162.490
2048,2,22,1249.992,163.841
2048,2,23,1227.893,166.790
2048,2,24,1250.590,163.763
2048,2,25,1214.826,168.584
2048,2,26,1245.663,164.410
2048,2,27,1236.857,165.581
2048,2,28,1255.033,163.183
2048,2,29,1234.812,165.855
2048,2,30,1274.613,160.676
2048,4,1,658.198,311.153
2048,4,2,657.914,311.287
2048,4,3,637.213,321.399
2048,4,4,647.893,316.101
2048,4,5,637.385,321.313
2048,4,6,646.070,316.993
2048,4,7,647.900,316.098
2048,4,8,651.148,314.521
2048,4,9,658.957,310.794
2048,4,10,643.653,318.184
2048,4,11,645.588,317.230
2048,4,12,647.700,316.196
2048,4,13,651.875,314.170
2048,4,14,658.866,310.837
2048,4,15,657.474,311.495
2048,4,16,664.437,308.231
2048,4,17,645.001,317.519
2048,4,18,635.016,322.512
2048,4,19,641.444,319.279
2048,4,20,662.623,309.075
2048,4,21,667.580,306.780
2048,4,22,660.135,310.240
2048,4,23,648.558,315.778
2048,4,24,649.621,315.261
2048,4,25,660.891,309.885
2048,4,26,651.473,314.365
2048,4,27,649.818,315.165
2048,4,28,643.449,318.285
2048,4,29,649.775,315.186
2048,4,30,655.403,312.480
2048,8,1,350.924,583.602
2048,8,2,351.328,582.930
2048,8,3,359.292,570.009
2048,8,4,369.449,554.339
2048,8,5,354.965,576.958
2048,8,6,339.131,603.896
2048,8,7,338.083,605.769
2048,8,8,351.000,583.476
2048,8,9,359.851,569.125
2048,8,10,351.339,582.913
2048,8,11,352.963,580.231
2048,8,12,352.069,581.705
2048,8,13,359.639,569.460
2048,8,14,342.851,597.345
2048,8,15,354.982,576.931
2048,8,16,344.876,593.836
2048,8,17,352.645,580.755
2048,8,18,358.362,571.489
2048,8,19,360.169,568.622
2048,8,20,354.255,578.114
2048,8,21,359.258,570.064
2048,8,22,366.329,559.060
2048,8,23,356.468,574.526
2048,8,24,365.624,560.139
2048,8,25,353.057,580.076
2048,8,26,354.862,577.126
2048,8,27,339.556,603.140
2048,8,28,349.165,586.542
2048,8,29,359.700,569.363
2048,8,30,353.772,578.904
2048,16,1,204.057,1003.640
2048,16,2,209.983,975.315
2048,16,3,206.486,991.835
2048,16,4,211.429,968.645
2048,16,5,214.217,956.040
2048,16,6,210.891,971.118
2048,16,7,206.523,991.657
2048,16,8,210.274,973.969
2048,16,9,207.141,988.700
2048,16,10,211.401,968.776
2048,16,11,215.314,951.171
2048,16,12,214.771,953.575
2048,16,13,225.497,908.217
2048,16,14,216.724,944.979
2048,16,15,212.493,963.796
2048,16,16,205.721,995.522
2048,16,17,201.212,1017.833
2048,16,18,202.765,1010.037
2048,16,19,209.437,977.860
2048,16,20,204.852,999.749
2048,16,21,208.233,983.515
2048,16,22,206.448,992.018
2048,16,23,211.495,968.342
2048,16,24,207.388,987.523
2048,16,25,208.591,981.827
2048,16,26,208.193,983.701
2048,16,27,220.117,930.416
2048,16,28,212.446,964.010
2048,16,29,212.817,962.328
2048,16,30,203.281,1007.472
4096,1,1,1225.816,167.072
4096,1,2,1218.021,168.142
4096,1,3,1239.116,165.279
4096,1,4,1247.895,164.116
4096,1,5,1240.768,165.059
4096,1,6,1249.324,163.929
4096,1,7,1256.891,162.942
4096,1,8,1243.764,164.661
4096,1,9,1237.998,165.428
4096,1,10,1219.429,167.947
4096,1,11,1231.412,166.313
4096,1,12,1247.013,164.233
4096,1,13,1214.558,168.621
4096,1,14,1252.797,163.474
4096,1,15,1230.902,166.382
4096,1,16,1217.843,168.166
4096,1,17,1223.522,167.386
4096,1,18,1234.838,165.852
4096,1,19,1285.876,159.269
4096,1,20,1261.347,162.366
4096,1,21,1239.895,165.175
4096,1,22,1231.696,166.275
4096,1,23,1236.441,165.637
4096,1,24,1222.861,167.476
4096,1,25,1222.097,167.581
4096,1,26,1241.663,164.940
4096,1,27,1255.025,163.184
4096,1,28,1251.932,163.587
4096,1,29,1242.619,164.813
4096,1,30,1247.029,164.230
4096,2,1,650.011,315.072
4096,2,2,628.902,325.647
4096,2,3,645.868,317.093
4096,2,4,645.528,317.260
4096,2,5,663.808,308.523
4096,2,6,647.294,316.394
4096,2,7,636.781,321.618
4096,2,8,632.674,323.705
4096,2,9,638.164,320.921
4096,2,10,633.095,323.490
4096,2,11,651.477,314.362
4096,2,12,631.718,324.195
4096,2,13,646.115,316.971
4096,2,14,655.044,312.651
4096,2,15,639.853,320.074
4096,2,16,641.036,319.483
4096,2,17,654.479,312.921
4096,2,18,651.504,314.350
4096,2,19,665.777,307.610
4096,2,20,648.664,315.726
4096,2,21,646.990,316.543
4096,2,22,662.736,309.022
4096,2,23,627.523,326.363
4096,2,24,651.886,314.165
4096,2,25,641.497,319.253
4096,2,26,635.667,322.181
4096,2,27,649.156,315.487
4096,2,28,643.731,318.146
4096,2,29,662.923,308.935
4096,2,30,630.059,325.049
4096,4,1,345.253,593.189
4096,4,2,365.796,559.875
4096,4,3,368.008,556.510
4096,4,4,350.319,584.609
4096,4,5,352.389,581.175
4096,4,6,358.821,570.758
4096,4,7,345.632,592.537
4096,4,8,344.650,594.226
4096,4,9,335.556,610.331
4096,4,10,348.233,588.111
