chunk_size,iov_count,run_number,time_ms,throughput_mibps
1024,1,1,4932.541,41.520
1024,1,2,4917.836,41.644
1024,1,3,4910.930,41.703
1024,1,4,4878.302,41.982
1024,1,5,4861.426,42.128
1024,1,6,4907.105,41.735
1024,1,7,4915.736,41.662
1024,1,8,4944.395,41.421
1024,1,9,4911.357,41.699
1024,1,10,4878.963,41.976
1024,1,11,4947.433,41.395
1024,1,12,4961.529,41.278
1024,1,13,4974.436,41.170
1024,1,14,4876.326,41.999
1024,1,15,4940.959,41.449
1024,1,16,4867.803,42.072
1024,1,17,4946.280,41.405
1024,1,18,4838.916,42.324
1024,1,19,4892.981,41.856
1024,1,20,4879.557,41.971
1024,1,21,4893.032,41.855
1024,1,22,4947.322,41.396
1024,1,23,4910.816,41.704
1024,1,24,4885.730,41.918
1024,1,25,4923.088,41.600
1024,1,26,4863.294,42.111
1024,1,27,4891.766,41.866
1024,1,28,4926.387,41.572
1024,1,29,4870.608,42.048
1024,1,30,4912.839,41.687
1024,2,1,2542.165,80.561
1024,2,2,2544.623,80.483
1024,2,3,2515.331,81.421
1024,2,4,2484.883,82.418
1024,2,5,2490.478,82.233
1024,2,6,2477.731,82.656
1024,2,7,2546.454,80.426
1024,2,8,2537.611,80.706
1024,2,9,2536.431,80.743
1024,2,10,2513.285,81.487
1024,2,11,2524.826,81.114
1024,2,12,2528.610,80.993
1024,2,13,2532.474,80.870
1024,2,14,2547.028,80.407
1024,2,15,2511.151,81.556
1024,2,16,2484.075,82.445
1024,2,17,2517.737,81.343
1024,2,18,2475.037,82.746
1024,2,19,2458.437,83.305
1024,2,20,2527.882,81.016
1024,2,21,2520.136,81.265
1024,2,22,2544.761,80.479
1024,2,23,2556.680,80.104
1024,2,24,2528.546,80.995
1024,2,25,2570.528,79.672
1024,2,26,2545.513,80.455
1024,2,27,2522.139,81.201
1024,2,28,2530.875,80.921
1024,2,29,2540.023,80.629
1024,2,30,2528.962,80.982
1024,4,1,1362.984,150.259
1024,4,2,1352.224,151.454
1024,4,3,1359.981,150.590
1024,4,4,1379.078,148.505
1024,4,5,1354.913,151.154
1024,4,6,1339.111,152.937
1024,4,7,1356.103,151.021
1024,4,8,1351.719,151.511
1024,4,9,1322.449,154.864
1024,4,10,1340.794,152.745
1024,4,11,1356.137,151.017
1024,4,12,1377.821,148.641
1024,4,13,1366.687,149.851
1024,4,14,1363.139,150.242
1024,4,15,1351.201,151.569
1024,4,16,1351.456,151.540
1024,4,17,1370.803,149.401
1024,4,18,1352.755,151.395
1024,4,19,1356.429,150.985
1024,4,20,1352.275,151.449
1024,4,21,1371.700,149.304
1024,4,22,1357.803,150.832
1024,4,23,1352.621,151.410
1024,4,24,1345.864,152.170
1024,4,25,1330.276,153.953
1024,4,26,1357.182,150.901
1024,4,27,1369.342,149.561
1024,4,28,1372.559,149.210
1024,4,29,1345.441,152.218
1024,4,30,1354.407,151.210
1024,8,1,746.742,274.258
1024,8,2,771.207,265.558
1024,8,3,781.221,262.154
1024,8,4,768.073,266.641
1024,8,5,756.794,270.615
1024,8,6,774.667,264.372
1024,8,7,774.197,264.532
1024,8,8,781.252,262.143
1024,8,9,776.161,263.863
1024,8,10,774.265,264.509
1024,8,11,757.363,270.412
1024,8,12,777.006,263.576
1024,8,13,757.814,270.251
1024,8,14,764.443,267.908
1024,8,15,761.580,268.915
1024,8,16,752.550,272.141
1024,8,17,763.425,268.265
1024,8,18,750.708,272.809
1024,8,19,771.261,265.539
1024,8,20,754.925,271.285
1024,8,21,734.272,278.916
1024,8,22,764.468,267.899
1024,8,23,752.776,272.060
1024,8,24,752.606,272.121
1024,8,25,747.246,274.073
1024,8,26,757.955,270.201
1024,8,27,757.573,270.337
1024,8,28,752.459,272.174
1024,8,29,761.988,268.771
1024,8,30,774.282,264.503
1024,16,1,465.571,439.890
1024,16,2,452.610,452.486
1024,16,3,466.935,438.605
1024,16,4,460.068,445.152
1024,16,5,452.134,452.963
1024,16,6,468.589,437.057
1024,16,7,453.735,451.365
1024,16,8,475.624,430.593
1024,16,9,452.292,452.805
1024,16,10,459.201,445.992
1024,16,11,454.898,450.210
1024,16,12,463.746,441.621
1024,16,13,463.770,441.599
1024,16,14,473.582,432.449
1024,16,15,450.276,454.832
1024,16,16,459.405,445.794
