chunk_size,iov_count,run_number,time_ms,throughput_mibps
1024,1,1,2018.789,101.447
1024,1,2,1908.810,107.292
1024,1,3,1927.245,106.266
1024,1,4,1905.959,107.452
1024,1,5,1906.195,107.439
1024,1,6,1909.419,107.258
1024,1,7,1938.147,105.668
1024,1,8,1930.202,106.103
1024,1,9,1943.938,105.353
1024,1,10,1924.276,106.430
1024,1,11,1942.782,105.416
1024,1,12,1920.170,106.657
1024,1,13,1910.213,107.213
1024,1,14,1919.698,106.683
1024,1,15,1917.901,106.783
1024,1,16,1915.308,106.928
1024,1,17,1912.038,107.111
1024,1,18,1916.862,106.841
1024,1,19,1917.105,106.828
1024,1,20,1908.043,107.335
1024,1,21,1915.610,106.911
1024,1,22,1905.260,107.492
1024,1,23,1909.544,107.251
1024,1,24,1915.660,106.908
1024,1,25,1912.914,107.062
1024,1,26,1910.886,107.175
1024,1,27,1926.919,106.284
1024,1,28,1921.763,106.569
1024,1,29,1916.684,106.851
1024,1,30,1925.331,106.371
1024,2,1,987.687,207.353
1024,2,2,994.004,206.035
1024,2,3,988.298,207.225
1024,2,4,989.780,206.915
1024,2,5,985.894,207.730
1024,2,6,985.211,207.874
1024,2,7,986.718,207.557
1024,2,8,991.931,206.466
1024,2,9,987.534,207.385
1024,2,10,989.452,206.983
1024,2,11,985.781,207.754
1024,2,12,984.671,207.988
1024,2,13,999.538,204.895
1024,2,14,987.961,207.296
1024,2,15,1002.593,204.270
1024,2,16,987.280,207.439
1024,2,17,983.926,208.146
1024,2,18,986.895,207.519
1024,2,19,994.951,205.839
1024,2,20,1005.460,203.688
1024,2,21,1013.891,201.994
1024,2,22,1014.328,201.907
1024,2,23,996.427,205.534
1024,2,24,1004.172,203.949
1024,2,25,990.666,206.730
1024,2,26,991.048,206.650
1024,2,27,978.388,209.324
1024,2,28,987.970,207.294
1024,2,29,992.025,206.446
1024,2,30,983.619,208.211
1024,4,1,490.045,417.921
1024,4,2,496.161,412.770
1024,4,3,489.812,418.119
1024,4,4,490.025,417.938
1024,4,5,494.253,414.362
1024,4,6,490.745,417.324
1024,4,7,489.361,418.505
1024,4,8,488.427,419.305
1024,4,9,493.973,414.598
1024,4,10,490.969,417.134
1024,4,11,489.887,418.056
1024,4,12,495.337,413.456
1024,4,13,491.111,417.014
1024,4,14,494.161,414.440
1024,4,15,493.571,414.935
1024,4,16,489.955,417.998
1024,4,17,488.293,419.420
1024,4,18,490.142,417.838
1024,4,19,488.151,419.543
1024,4,20,489.338,418.524
1024,4,21,488.433,419.300
1024,4,22,490.333,417.675
1024,4,23,490.438,417.586
1024,4,24,491.792,416.437
1024,4,25,488.492,419.249
1024,4,26,487.664,419.962
1024,4,27,486.967,420.562
1024,4,28,497.233,411.879
1024,4,29,492.073,416.199
1024,4,30,490.951,417.150
1024,8,1,297.540,688.312
1024,8,2,299.017,684.910
1024,8,3,299.884,682.932
1024,8,4,301.399,679.498
1024,8,5,301.782,678.636
1024,8,6,301.181,679.990
1024,8,7,299.512,683.779
1024,8,8,306.931,667.252
1024,8,9,304.158,673.334
1024,8,10,300.567,681.379
1024,8,11,299.229,684.426
1024,8,12,298.792,685.427
1024,8,13,300.672,681.140
1024,8,14,300.334,681.908
1024,8,15,299.866,682.971
1024,8,16,301.719,678.778
1024,8,17,301.727,678.759
1024,8,18,309.313,662.113
1024,8,19,303.498,674.799
1024,8,20,306.462,668.273
1024,8,21,299.167,684.568
1024,8,22,300.937,680.540
1024,8,23,301.828,678.533
1024,8,24,304.760,672.005
1024,8,25,305.294,670.828
1024,8,26,308.919,662.958
1024,8,27,305.352,670.700
1024,8,28,303.547,674.690
1024,8,29,302.083,677.958
1024,8,30,302.634,676.724
1024,16,1,183.074,1118.674
1024,16,2,183.745,1114.588
1024,16,3,182.927,1119.570
1024,16,4,185.223,1105.692
1024,16,5,182.889,1119.803
1024,16,6,186.073,1100.643
1024,16,7,187.455,1092.530
1024,16,8,184.158,1112.091
1024,16,9,188.715,1085.234
1024,16,10,184.589,1109.493
1024,16,11,183.977,1113.185
1024,16,12,183.491,1116.132
1024,16,13,186.532,1097.934
1024,16,14,185.364,1104.851
1024,16,15,186.981,1095.296
1024,16,16,182.722,1120.829
1024,16,17,184.895,1107.653
1024,16,18,183.088,1118.588
1024,16,19,183.412,1116.613
1024,16,20,183.386,1116.770
1024,16,21,182.219,1123.924
1024,16,22,182.245,1123.764
1024,16,23,183.073,1118.682
1024,16,24,182.578,1121.715
1024,16,25,183.724,1114.716
1024,16,26,182.043,1125.009
1024,16,27,183.121,1118.384
1024,16,28,183.090,1118.576
1024,16,29,184.902,1107.613
1024,16,30,182.750,1120.656
2048,1,1,975.773,209.885
2048,1,2,970.054,211.122
2048,1,3,978.609,209.277
2048,1,4,977.169,209.585
2048,1,5,982.690,208.407
2048,1,6,976.472,209.735
2048,1,7,974.604,210.137
2048,1,8,971.030,210.910
2048,1,9,971.155,210.883
2048,1,10,978.700,209.257
2048,1,11,979.958,208.988
2048,1,12,975.283,209.990
2048,1,13,966.935,211.803
2048,1,14,971.841,210.734
2048,1,15,976.488,209.731
2048,1,16,968.624,211.434
2048,1,17,976.910,209.641
2048,1,18,972.339,210.626
2048,1,19,966.562,211.885
2048,1,20,976.764,209.672
2048,1,21,985.700,207.771
2048,1,22,988.535,207.175
2048,1,23,994.920,205.846
2048,1,24,983.482,208.240
2048,1,25,970.302,211.068
2048,1,26,970.551,211.014
2048,1,27,978.300,209.343
2048,1,28,973.012,210.480
2048,1,29,972.388,210.616
2048,1,30,982.522,208.443
2048,2,1,481.739,425.127
2048,2,2,483.853,423.269
2048,2,3,486.185,421.239
2048,2,4,485.450,421.876
2048,2,5,482.304,424.629
2048,2,6,485.817,421.558
2048,2,7,482.885,424.117
2048,2,8,488.656,419.109
2048,2,9,482.828,424.168
2048,2,10,480.690,426.055
2048,2,11,482.327,424.608
2048,2,12,481.802,425.071
2048,2,13,486.399,421.054
2048,2,14,482.884,424.118
2048,2,15,479.339,427.255
2048,2,16,482.714,424.268
2048,2,17,479.489,427.121
2048,2,18,481.842,425.036
2048,2,19,482.866,424.134
2048,2,20,489.901,418.044
2048,2,21,490.465,417.563
2048,2,22,491.002,417.106
2048,2,23,490.306,417.698
2048,2,24,484.130,423.027
2048,2,25,482.402,424.543
2048,2,26,479.030,427.530
2048,2,27,483.247,423.800
2048,2,28,482.093,424.814
2048,2,29,482.741,424.244
2048,2,30,481.823,425.053
2048,4,1,274.092,747.195
2048,4,2,271.939,753.110
2048,4,3,270.966,755.815
2048,4,4,271.161,755.270
2048,4,5,272.085,752.705
2048,4,6,271.752,753.628
2048,4,7,271.622,753.990
2048,4,8,274.407,746.337
2048,4,9,270.475,757.187
2048,4,10,275.013,744.693
2048,4,11,273.127,749.834
2048,4,12,280.325,730.581
2048,4,13,277.387,738.320
2048,4,14,282.199,725.728
2048,4,15,276.765,739.978
2048,4,16,273.488,748.845
2048,4,17,270.084,758.282
2048,4,18,271.468,754.417
2048,4,19,277.972,736.764
2048,4,20,279.757,732.065
2048,4,21,277.906,736.940
2048,4,22,274.670,745.623
2048,4,23,273.436,748.988
2048,4,24,272.507,751.539
2048,4,25,271.081,755.494
2048,4,26,272.546,751.433
2048,4,27,282.324,725.407
2048,4,28,274.051,747.305
2048,4,29,278.824,734.512
2048,4,30,278.405,735.619
2048,8,1,171.814,1191.986
2048,8,2,173.414,1180.988
2048,8,3,171.462,1194.432
2048,8,4,171.512,1194.088
2048,8,5,173.985,1177.112
2048,8,6,172.258,1188.913
2048,8,7,170.512,1201.087
2048,8,8,171.840,1191.806
2048,8,9,172.121,1189.860
2048,8,10,172.470,1187.453
2048,8,11,175.200,1168.951
2048,8,12,175.262,1168.534
2048,8,13,175.172,1169.136
2048,8,14,173.273,1181.951
2048,8,15,171.469,1194.387
2048,8,16,171.395,1194.899
2048,8,17,171.872,1191.587
2048,8,18,171.205,1196.229
2048,8,19,170.603,1200.445
2048,8,20,172.165,1189.553
2048,8,21,173.086,1183.227
2048,8,22,170.192,1203.350
2048,8,23,171.303,1195.545
2048,8,24,171.213,1196.172
2048,8,25,171.227,1196.073
2048,8,26,170.820,1198.922
2048,8,27,170.389,1201.957
2048,8,28,171.257,1195.866
2048,8,29,171.976,1190.865
2048,8,30,171.637,1193.214
2048,16,1,108.908,1880.490
2048,16,2,109.782,1865.514
2048,16,3,110.525,1852.981
2048,16,4,109.561,1869.270
2048,16,5,110.061,1860.789
2048,16,6,111.261,1840.718
2048,16,7,110.280,1857.098
2048,16,8,110.594,1851.824
2048,16,9,109.651,1867.738
2048,16,10,110.240,1857.770
2048,16,11,111.134,1842.815
2048,16,12,110.451,1854.220
2048,16,13,110.478,1853.756
2048,16,14,109.464,1870.938
2048,16,15,110.831,1847.851
2048,16,16,111.293,1840.190
2048,16,17,109.554,1869.401
2048,16,18,109.525,1869.891
2048,16,19,109.870,1864.015
2048,16,20,109.758,1865.919
2048,16,21,109.797,1865.256
2048,16,22,110.033,1861.259
2048,16,23,109.922,1863.133
2048,16,24,112.337,1823.083
2048,16,25,112.189,1825.483
2048,16,26,110.783,1848.664
2048,16,27,113.089,1810.959
2048,16,28,112.228,1824.864
2048,16,29,110.212,1858.235
2048,16,30,109.835,1864.616
4096,1,1,486.750,420.750
4096,1,2,481.770,425.099
4096,1,3,482.351,424.587
4096,1,4,480.431,426.284
4096,1,5,477.055,429.300
4096,1,6,478.070,428.389
4096,1,7,482.645,424.328
4096,1,8,483.525,423.556
4096,1,9,480.253,426.442
4096,1,10,483.312,423.743
4096,1,11,480.299,426.401
4096,1,12,480.952,425.822
4096,1,13,479.866,426.786
4096,1,14,478.960,427.593
4096,1,15,479.357,427.239
4096,1,16,482.350,424.588
4096,1,17,481.644,425.210
4096,1,18,491.284,416.867
4096,1,19,488.206,419.495
4096,1,20,483.913,423.216
4096,1,21,481.636,425.217
4096,1,22,479.607,427.017
4096,1,23,498.740,410.635
4096,1,24,492.427,415.899
4096,1,25,489.475,418.407
4096,1,26,482.772,424.217
4096,1,27,480.611,426.124
4096,1,28,480.293,426.406
4096,1,29,485.665,421.690
4096,1,30,485.757,421.610
4096,2,1,259.355,789.652
4096,2,2,258.492,792.287
4096,2,3,256.392,798.778
4096,2,4,257.592,795.056
4096,2,5,257.462,795.456
4096,2,6,256.208,799.351
4096,2,7,255.649,801.098
4096,2,8,256.450,798.595
4096,2,9,261.016,784.626
4096,2,10,256.761,797.627
4096,2,11,259.401,789.511
4096,2,12,255.215,802.460
4096,2,13,255.774,800.707
