chunk_size,iov_count,run_number,time_ms,throughput_mibps
1024,1,1,2006.037,102.092
1024,1,2,1993.193,102.750
1024,1,3,2003.890,102.201
1024,1,4,1999.763,102.412
1024,1,5,2001.226,102.337
1024,1,6,2006.442,102.071
1024,1,7,2006.423,102.072
1024,1,8,2004.249,102.183
1024,1,9,2008.610,101.961
1024,1,10,2009.009,101.941
1024,1,11,2007.171,102.034
1024,1,12,2011.584,101.810
1024,1,13,2008.942,101.944
1024,1,14,1997.099,102.549
1024,1,15,1997.562,102.525
1024,1,16,2033.102,100.733
1024,1,17,2018.431,101.465
1024,1,18,2014.064,101.685
1024,1,19,2013.941,101.691
1024,1,20,2013.394,101.719
1024,1,21,2021.781,101.297
1024,1,22,2003.203,102.236
1024,1,23,2003.900,102.201
1024,1,24,2009.686,101.906
1024,1,25,2010.469,101.867
1024,1,26,2020.303,101.371
1024,1,27,2013.425,101.717
1024,1,28,2002.082,102.294
1024,1,29,2006.001,102.094
1024,1,30,1999.369,102.432
1024,2,1,1018.750,201.031
1024,2,2,1025.284,199.750
1024,2,3,989.184,207.039
1024,2,4,1008.541,203.066
1024,2,5,1015.379,201.698
1024,2,6,990.958,206.669
1024,2,7,1008.364,203.101
1024,2,8,1006.459,203.486
1024,2,9,992.790,206.287
1024,2,10,997.853,205.241
1024,2,11,999.318,204.940
1024,2,12,992.058,206.439
1024,2,13,1007.458,203.284
1024,2,14,998.570,205.093
1024,2,15,1016.912,201.394
1024,2,16,996.501,205.519
1024,2,17,1012.819,202.208
1024,2,18,997.813,205.249
1024,2,19,1001.595,204.474
1024,2,20,1021.658,200.459
1024,2,21,1017.546,201.269
1024,2,22,1006.004,203.578
1024,2,23,1028.128,199.197
1024,2,24,1018.695,201.041
1024,2,25,1007.543,203.267
1024,2,26,1008.557,203.062
1024,2,27,1002.814,204.225
1024,2,28,997.119,205.392
1024,2,29,1003.144,204.158
1024,2,30,1017.429,201.292
1024,4,1,656.436,311.988
1024,4,2,653.278,313.496
1024,4,3,649.874,315.138
1024,4,4,649.186,315.472
1024,4,5,651.026,314.581
1024,4,6,651.857,314.179
1024,4,7,655.604,312.384
1024,4,8,647.850,316.123
1024,4,9,649.271,315.431
1024,4,10,657.148,311.650
1024,4,11,656.980,311.729
1024,4,12,656.476,311.969
1024,4,13,660.127,310.243
1024,4,14,650.938,314.623
1024,4,15,654.126,313.090
1024,4,16,648.963,315.580
1024,4,17,652.788,313.731
1024,4,18,648.686,315.715
1024,4,19,650.903,314.640
1024,4,20,650.989,314.598
1024,4,21,648.493,315.809
1024,4,22,652.700,313.774
1024,4,23,652.340,313.947
1024,4,24,654.313,313.000
1024,4,25,654.511,312.906
1024,4,26,653.682,313.302
1024,4,27,651.953,314.133
1024,4,28,653.593,313.345
1024,4,29,654.633,312.847
1024,4,30,649.699,315.223
1024,8,1,404.733,506.013
1024,8,2,399.751,512.319
1024,8,3,395.390,517.969
1024,8,4,399.398,512.771
1024,8,5,398.704,513.664
1024,8,6,400.026,511.967
1024,8,7,400.232,511.704
1024,8,8,396.520,516.494
1024,8,9,400.087,511.889
1024,8,10,398.495,513.933
1024,8,11,400.056,511.928
1024,8,12,398.976,513.315
1024,8,13,400.864,510.897
1024,8,14,399.798,512.258
1024,8,15,402.358,509.000
1024,8,16,400.331,511.577
1024,8,17,401.488,510.103
1024,8,18,399.562,512.562
1024,8,19,406.078,504.337
1024,8,20,402.645,508.637
1024,8,21,395.692,517.574
1024,8,22,402.129,509.289
1024,8,23,400.976,510.753
1024,8,24,397.103,515.735
1024,8,25,402.956,508.244
1024,8,26,405.106,505.547
1024,8,27,400.216,511.724
1024,8,28,404.925,505.773
1024,8,29,406.753,503.500
1024,8,30,398.773,513.576
1024,16,1,279.558,732.586
1024,16,2,274.625,745.745
1024,16,3,273.586,748.576
1024,16,4,271.273,754.960
1024,16,5,275.569,743.190
1024,16,6,276.302,741.218
1024,16,7,272.814,750.695
1024,16,8,277.791,737.244
1024,16,9,273.986,747.485
1024,16,10,272.768,750.822
1024,16,11,274.728,745.465
1024,16,12,280.473,730.196
1024,16,13,275.578,743.164
1024,16,14,271.614,754.011
1024,16,15,274.052,747.304
1024,16,16,274.365,746.452
1024,16,17,272.324,752.046
1024,16,18,275.931,742.214
1024,16,19,275.452,743.505
1024,16,20,276.262,741.326
1024,16,21,271.322,754.822
1024,16,22,270.967,755.811
1024,16,23,271.840,753.384
1024,16,24,271.000,755.720
1024,16,25,281.380,727.841
1024,16,26,270.144,758.113
1024,16,27,281.451,727.658
1024,16,28,269.482,759.977
1024,16,29,279.604,732.464
1024,16,30,274.372,746.431
2048,1,1,970.782,210.964
2048,1,2,973.083,210.465
2048,1,3,977.566,209.500
2048,1,4,993.206,206.201
2048,1,5,970.189,211.093
2048,1,6,983.201,208.299
2048,1,7,968.685,211.421
2048,1,8,975.302,209.986
2048,1,9,987.576,207.376
2048,1,10,976.144,209.805
2048,1,11,979.324,209.124
2048,1,12,970.130,211.106
2048,1,13,990.152,206.837
2048,1,14,970.573,211.009
2048,1,15,982.687,208.408
2048,1,16,975.975,209.841
2048,1,17,972.711,210.546
2048,1,18,983.362,208.265
2048,1,19,963.226,212.619
2048,1,20,974.527,210.153
2048,1,21,975.800,209.879
2048,1,22,973.102,210.461
2048,1,23,974.512,210.157
2048,1,24,973.805,210.309
2048,1,25,974.742,210.107
2048,1,26,977.643,209.483
2048,1,27,975.213,210.005
2048,1,28,972.471,210.598
2048,1,29,995.504,205.725
2048,1,30,995.207,205.786
2048,2,1,613.879,333.616
2048,2,2,619.044,330.833
2048,2,3,613.878,333.617
2048,2,4,602.837,339.727
2048,2,5,609.104,336.232
2048,2,6,622.551,328.969
2048,2,7,623.245,328.603
2048,2,8,621.085,329.746
2048,2,9,618.814,330.956
2048,2,10,609.745,335.878
2048,2,11,608.646,336.485
2048,2,12,611.400,334.969
2048,2,13,610.083,335.692
2048,2,14,615.231,332.883
2048,2,15,624.344,328.024
2048,2,16,607.775,336.967
2048,2,17,614.931,333.045
2048,2,18,611.589,334.865
2048,2,19,616.785,332.044
2048,2,20,622.601,328.943
2048,2,21,619.996,330.325
2048,2,22,609.922,335.781
2048,2,23,605.597,338.179
2048,2,24,609.262,336.144
2048,2,25,615.815,332.567
2048,2,26,613.444,333.853
2048,2,27,612.962,334.115
2048,2,28,609.105,336.231
2048,2,29,614.708,333.166
2048,2,30,613.449,333.850
2048,4,1,373.985,547.616
2048,4,2,375.831,544.926
2048,4,3,374.451,546.934
2048,4,4,375.710,545.101
2048,4,5,372.351,550.018
2048,4,6,372.508,549.787
2048,4,7,376.655,543.734
2048,4,8,371.258,551.637
2048,4,9,378.929,540.471
2048,4,10,372.900,549.210
2048,4,11,372.706,549.494
2048,4,12,370.714,552.447
2048,4,13,369.275,554.600
2048,4,14,377.109,543.080
2048,4,15,384.741,532.306
2048,4,16,374.044,547.529
2048,4,17,377.119,543.065
2048,4,18,376.521,543.927
2048,4,19,380.468,538.285
