chunk_size,iov_count,run_number,time_ms,throughput_mibps
1024,1,1,6297.132,32.523
1024,1,2,5660.311,36.182
1024,1,3,5931.449,34.528
1024,1,4,5825.764,35.154
1024,1,5,5712.555,35.851
1024,1,6,5890.988,34.765
1024,1,7,5820.009,35.189
1024,1,8,5992.840,34.174
1024,1,9,6074.050,33.717
1024,1,10,6011.374,34.069
1024,1,11,6160.811,33.242
1024,1,12,5990.876,34.185
1024,1,13,5842.590,35.053
1024,1,14,5803.602,35.288
1024,1,15,5674.222,36.093
1024,1,16,5810.109,35.249
1024,1,17,5758.431,35.565
1024,1,18,5804.438,35.283
1024,1,19,5668.566,36.129
1024,1,20,5776.761,35.452
1024,1,21,5681.679,36.046
1024,1,22,5742.293,35.665
1024,1,23,5904.937,34.683
1024,1,24,5762.765,35.538
1024,1,25,5706.858,35.887
1024,1,26,5738.121,35.691
1024,1,27,5781.126,35.426
1024,1,28,5659.383,36.188
1024,1,29,5585.960,36.663
1024,1,30,5746.670,35.638
1024,2,1,3044.753,67.263
1024,2,2,2923.865,70.044
1024,2,3,2840.542,72.099
1024,2,4,2854.507,71.746
1024,2,5,2879.739,71.118
1024,2,6,2886.674,70.947
1024,2,7,2906.054,70.474
1024,2,8,3010.347,68.032
1024,2,9,2891.772,70.822
1024,2,10,2970.905,68.935
1024,2,11,3014.977,67.928
1024,2,12,2946.144,69.515
1024,2,13,2856.670,71.692
1024,2,14,2977.034,68.793
1024,2,15,2840.399,72.103
1024,2,16,2902.316,70.564
1024,2,17,2830.795,72.347
1024,2,18,2800.274,73.136
1024,2,19,2926.559,69.980
1024,2,20,2780.928,73.644
1024,2,21,2978.344,68.763
1024,2,22,2932.683,69.834
1024,2,23,2863.169,71.529
1024,2,24,2836.616,72.199
1024,2,25,2852.079,71.807
1024,2,26,2940.803,69.641
1024,2,27,2885.694,70.971
1024,2,28,2807.487,72.948
1024,2,29,2894.977,70.743
1024,2,30,3001.628,68.230
1024,4,1,1566.287,130.755
1024,4,2,1540.239,132.966
1024,4,3,1555.767,131.639
1024,4,4,1404.069,145.862
1024,4,5,1550.856,132.056
1024,4,6,1440.452,142.178
1024,4,7,1436.782,142.541
1024,4,8,1519.723,134.761
1024,4,9,1450.093,141.232
1024,4,10,1534.070,133.501
1024,4,11,1533.494,133.551
1024,4,12,1418.063,144.422
1024,4,13,1530.808,133.786
1024,4,14,1469.903,139.329
1024,4,15,1454.154,140.838
1024,4,16,1556.230,131.600
1024,4,17,1450.688,141.174
1024,4,18,1502.813,136.278
1024,4,19,1499.181,136.608
1024,4,20,1427.511,143.467
1024,4,21,1566.339,130.751
1024,4,22,1449.814,141.260
1024,4,23,1473.344,139.004
1024,4,24,1559.551,131.320
1024,4,25,1510.905,135.548
1024,4,26,1528.556,133.983
1024,4,27,1540.112,132.977
1024,4,28,1481.069,138.278
1024,4,29,1551.727,131.982
1024,4,30,1513.863,135.283
1024,8,1,809.374,253.035
1024,8,2,810.752,252.605
1024,8,3,820.154,249.709
1024,8,4,834.502,245.416
1024,8,5,801.882,255.399
1024,8,6,814.301,251.504
1024,8,7,822.344,249.044
1024,8,8,828.404,247.223
1024,8,9,860.429,238.021
1024,8,10,761.006,269.117
1024,8,11,808.577,253.284
1024,8,12,831.842,246.201
1024,8,13,839.020,244.094
1024,8,14,813.023,251.899
1024,8,15,804.849,254.458
1024,8,16,805.381,254.290
1024,8,17,792.935,258.281
1024,8,18,842.786,243.004
1024,8,19,796.955,256.978
1024,8,20,782.863,261.604
1024,8,21,795.207,257.543
1024,8,22,824.362,248.434
1024,8,23,845.810,242.135
1024,8,24,810.385,252.719
1024,8,25,800.411,255.868
1024,8,26,820.837,249.501
1024,8,27,825.269,248.162
1024,8,28,818.974,250.069
1024,8,29,782.647,261.676
1024,8,30,777.734,263.329
1024,16,1,499.796,409.767
1024,16,2,449.499,455.618
1024,16,3,427.547,479.011
1024,16,4,455.484,449.631
1024,16,5,448.466,456.667
1024,16,6,456.890,448.248
1024,16,7,440.009,465.445
1024,16,8,417.807,490.179
1024,16,9,427.670,478.873
1024,16,10,450.011,455.100
1024,16,11,442.392,462.938
1024,16,12,427.970,478.538
1024,16,13,471.692,434.182
1024,16,14,465.663,439.803
1024,16,15,453.310,451.788
1024,16,16,441.649,463.717
1024,16,17,461.381,443.884
1024,16,18,440.022,465.431
1024,16,19,464.857,440.566
1024,16,20,454.894,450.214
1024,16,21,457.066,448.075
1024,16,22,459.819,445.393
1024,16,23,462.339,442.965
1024,16,24,452.600,452.496
1024,16,25,444.820,460.411
1024,16,26,427.473,479.094
1024,16,27,430.975,475.201
1024,16,28,450.563,454.543
1024,16,29,470.260,435.503
1024,16,30,442.116,463.227
2048,1,1,2873.499,71.272
2048,1,2,2895.632,70.727
2048,1,3,2910.538,70.365
2048,1,4,2897.351,70.685
2048,1,5,2842.606,72.047
2048,1,6,2953.135,69.350
2048,1,7,2929.109,69.919
2048,1,8,2852.210,71.804
2048,1,9,2970.242,68.951
2048,1,10,2955.283,69.300
2048,1,11,2890.582,70.851
2048,1,12,2901.973,70.573
2048,1,13,2906.790,70.456
2048,1,14,2864.285,71.501
2048,1,15,2866.978,71.434
2048,1,16,2899.255,70.639
2048,1,17,2908.906,70.404
2048,1,18,2931.107,69.871
2048,1,19,2840.000,72.113
2048,1,20,2884.397,71.003
2048,1,21,2867.369,71.424
2048,1,22,2868.700,71.391
2048,1,23,2896.018,70.718
2048,1,24,2968.485,68.991
2048,1,25,2899.262,70.639
2048,1,26,2869.205,71.379
2048,1,27,2942.403,69.603
2048,1,28,2957.433,69.249
2048,1,29,2899.749,70.627
2048,1,30,2808.667,72.917
2048,2,1,1568.962,130.532
2048,2,2,1507.951,135.813
2048,2,3,1455.591,140.699
2048,2,4,1503.765,136.192
2048,2,5,1397.397,146.558
2048,2,6,1489.761,137.472
2048,2,7,1448.293,141.408
2048,2,8,1386.151,147.747
2048,2,9,1434.431,142.774
2048,2,10,1493.267,137.149
2048,2,11,1405.067,145.758
2048,2,12,1464.777,139.816
2048,2,13,1480.390,138.342
2048,2,14,1421.507,144.072
2048,2,15,1445.138,141.717
2048,2,16,1433.318,142.885
2048,2,17,1443.330,141.894
2048,2,18,1496.335,136.868
2048,2,19,1461.280,140.151
2048,2,20,1478.648,138.505
2048,2,21,1536.819,133.262
2048,2,22,1432.364,142.980
2048,2,23,1481.318,138.255
2048,2,24,1460.940,140.184
2048,2,25,1424.603,143.759
2048,2,26,1491.834,137.281
2048,2,27,1484.773,137.934
2048,2,28,1432.070,143.010
2048,2,29,1500.341,136.502
2048,2,30,1445.026,141.728
2048,4,1,857.158,238.929
2048,4,2,755.518,271.072
2048,4,3,776.314,263.811
2048,4,4,782.424,261.751
2048,4,5,738.557,277.298
2048,4,6,764.463,267.900
2048,4,7,798.222,256.570
2048,4,8,781.198,262.161
2048,4,9,771.497,265.458
2048,4,10,743.448,275.473
2048,4,11,780.629,262.352
2048,4,12,814.493,251.445
2048,4,13,791.594,258.719
2048,4,14,784.139,261.178
2048,4,15,742.766,275.726
2048,4,16,781.507,262.058
2048,4,17,795.825,257.343
2048,4,18,790.691,259.014
2048,4,19,788.240,259.819
2048,4,20,743.963,275.283
2048,4,21,803.616,254.848
2048,4,22,759.373,269.696
2048,4,23,822.569,248.976
2048,4,24,805.216,254.342
2048,4,25,720.932,284.077
2048,4,26,760.540,269.282
2048,4,27,753.134,271.930
2048,4,28,806.814,253.838
2048,4,29,774.526,264.420
2048,4,30,765.061,267.691
2048,8,1,447.838,457.308
2048,8,2,437.676,467.926
2048,8,3,421.138,486.301
2048,8,4,408.834,500.936
2048,8,5,414.982,493.515
2048,8,6,421.127,486.314
2048,8,7,421.543,485.834
2048,8,8,415.503,492.896
2048,8,9,426.399,480.301
2048,8,10,426.124,480.611
2048,8,11,433.743,472.169
2048,8,12,420.022,487.593
2048,8,13,396.809,516.117
2048,8,14,429.994,476.286
2048,8,15,440.734,464.680
2048,8,16,443.670,461.604
2048,8,17,434.527,471.317
2048,8,18,414.977,493.521
2048,8,19,399.730,512.345
2048,8,20,410.508,498.894
2048,8,21,461.026,444.227
2048,8,22,439.613,465.865
2048,8,23,440.992,464.407
2048,8,24,431.042,475.127
2048,8,25,422.933,484.237
2048,8,26,435.167,470.624
2048,8,27,427.984,478.523
2048,8,28,431.587,474.528
2048,8,29,413.318,495.503
2048,8,30,420.905,486.571
2048,16,1,276.827,739.812
2048,16,2,250.377,817.966
2048,16,3,254.888,803.489
2048,16,4,246.852,829.646
2048,16,5,256.746,797.674
2048,16,6,257.423,795.577
2048,16,7,248.438,824.351
2048,16,8,251.498,814.319
2048,16,9,255.960,800.126
2048,16,10,247.118,828.753
2048,16,11,249.624,820.432
2048,16,12,241.632,847.571
2048,16,13,236.958,864.287
2048,16,14,243.791,840.065
2048,16,15,246.109,832.153
2048,16,16,240.360,852.054
2048,16,17,253.736,807.138
2048,16,18,243.411,841.376
2048,16,19,245.535,834.096
2048,16,20,249.487,820.885
2048,16,21,253.441,808.077
2048,16,22,253.200,808.845
2048,16,23,238.269,859.533
2048,16,24,245.149,835.409
2048,16,25,243.545,840.913
2048,16,26,250.103,818.863
2048,16,27,236.632,865.478
2048,16,28,239.375,855.562
2048,16,29,242.007,846.256
2048,16,30,241.612,847.640
4096,1,1,1515.852,135.106
4096,1,2,1499.645,136.566
4096,1,3,1386.204,147.742
4096,1,4,1427.148,143.503
4096,1,5,1470.064,139.314
4096,1,6,1426.023,143.616
4096,1,7,1548.626,132.246
4096,1,8,1465.620,139.736
4096,1,9,1466.424,139.659
4096,1,10,1492.589,137.211
4096,1,11,1364.863,150.052
4096,1,12,1490.441,137.409
4096,1,13,1489.995,137.450
4096,1,14,1421.102,144.114
4096,1,15,1474.173,138.925
4096,1,16,1473.746,138.966
4096,1,17,1444.743,141.755
4096,1,18,1517.008,135.003
4096,1,19,1436.661,142.553
4096,1,20,1477.168,138.644
4096,1,21,1507.697,135.836
4096,1,22,1441.623,142.062
4096,1,23,1495.076,136.983
4096,1,24,1512.796,135.378
4096,1,25,1445.683,141.663
4096,1,26,1536.555,133.285
4096,1,27,1462.933,139.993
4096,1,28,1480.789,138.305
4096,1,29,1462.730,140.012
4096,1,30,1466.370,139.665
4096,2,1,831.701,246.242
4096,2,2,769.758,266.058
4096,2,3,775.274,264.165
4096,2,4,746.957,274.179
4096,2,5,712.327,287.509
4096,2,6,741.904,276.047
4096,2,7,749.602,273.212
4096,2,8,734.062,278.996
4096,2,9,754.009,271.615
4096,2,10,741.313,276.267
4096,2,11,724.375,282.726
4096,2,12,768.884,266.360
4096,2,13,772.137,265.238
4096,2,14,822.331,249.048
4096,2,15,769.058,266.300
4096,2,16,743.187,275.570
4096,2,17,764.395,267.924
4096,2,18,734.413,278.862
4096,2,19,770.103,265.939
4096,2,20,786.736,260.316
4096,2,21,720.808,284.126
4096,2,22,754.548,271.421
4096,2,23,775.952,263.934
4096,2,24,787.630,260.021
4096,2,25,789.296,259.472
4096,2,26,743.348,275.510
4096,2,27,738.617,277.275
