chunk_size,iov_count,run_number,time_ms,throughput_mibps
1024,1,1,5820.903,35.184
1024,1,2,5966.535,34.325
1024,1,3,6012.861,34.060
1024,1,4,5915.454,34.621
1024,1,5,5959.919,34.363
1024,1,6,5941.991,34.467
1024,1,7,6111.259,33.512
1024,1,8,6024.781,33.993
1024,1,9,6014.141,34.053
1024,1,10,5856.380,34.970
1024,1,11,6035.644,33.932
1024,1,12,5855.955,34.973
1024,1,13,5906.674,34.673
1024,1,14,5930.369,34.534
1024,1,15,6077.724,33.697
1024,1,16,5966.495,34.325
1024,1,17,5968.863,34.311
1024,1,18,5943.119,34.460
1024,1,19,6032.850,33.947
1024,1,20,5816.644,35.209
1024,1,21,5997.760,34.146
1024,1,22,5916.107,34.617
1024,1,23,6098.924,33.580
1024,1,24,5886.576,34.791
1024,1,25,6127.094,33.425
1024,1,26,6033.407,33.944
1024,1,27,6062.443,33.782
1024,1,28,6009.409,34.080
1024,1,29,5708.561,35.876
1024,1,30,5698.594,35.939
1024,2,1,3116.414,65.717
1024,2,2,3047.110,67.211
1024,2,3,3050.130,67.145
1024,2,4,3115.081,65.745
1024,2,5,2976.956,68.795
1024,2,6,3024.720,67.709
1024,2,7,3061.941,66.886
1024,2,8,3172.528,64.554
1024,2,9,3064.172,66.837
1024,2,10,3138.558,65.253
1024,2,11,3024.997,67.703
1024,2,12,2971.193,68.929
1024,2,13,2974.164,68.860
1024,2,14,3011.519,68.006
1024,2,15,2973.073,68.885
1024,2,16,2967.866,69.006
1024,2,17,3046.124,67.233
1024,2,18,3042.998,67.302
1024,2,19,2987.160,68.560
1024,2,20,3067.867,66.756
1024,2,21,3104.809,65.962
1024,2,22,3053.893,67.062
1024,2,23,3041.928,67.326
1024,2,24,3070.232,66.705
1024,2,25,3139.136,65.241
1024,2,26,3163.411,64.740
1024,2,27,3152.614,64.962
1024,2,28,3141.115,65.200
1024,2,29,3067.586,66.763
1024,2,30,3085.662,66.371
1024,4,1,1654.288,123.799
1024,4,2,1611.143,127.115
1024,4,3,1597.690,128.185
1024,4,4,1575.128,130.021
1024,4,5,1687.536,121.360
1024,4,6,1660.770,123.316
1024,4,7,1607.268,127.421
1024,4,8,1590.479,128.766
1024,4,9,1623.099,126.178
1024,4,10,1573.072,130.191
1024,4,11,1620.774,126.359
1024,4,12,1652.788,123.912
1024,4,13,1651.931,123.976
1024,4,14,1576.368,129.919
1024,4,15,1682.617,121.715
1024,4,16,1633.939,125.341
1024,4,17,1655.893,123.680
1024,4,18,1678.169,122.038
1024,4,19,1637.969,125.033
1024,4,20,1631.415,125.535
1024,4,21,1598.551,128.116
1024,4,22,1690.452,121.151
1024,4,23,1581.423,129.504
1024,4,24,1594.701,128.425
1024,4,25,1700.186,120.457
1024,4,26,1578.169,129.771
1024,4,27,1657.512,123.559
1024,4,28,1572.654,130.226
1024,4,29,1629.981,125.646
1024,4,30,1676.449,122.163
1024,8,1,901.043,227.292
1024,8,2,942.194,217.365
1024,8,3,941.611,217.500
1024,8,4,912.068,224.545
1024,8,5,879.732,232.798
1024,8,6,907.068,225.782
1024,8,7,937.019,218.565
1024,8,8,924.030,221.638
1024,8,9,906.602,225.898
1024,8,10,904.646,226.387
1024,8,11,898.442,227.950
1024,8,12,908.177,225.507
1024,8,13,907.367,225.708
1024,8,14,869.434,235.556
1024,8,15,887.988,230.634
1024,8,16,910.055,225.041
1024,8,17,911.702,224.635
1024,8,18,891.199,229.803
1024,8,19,942.741,217.239
1024,8,20,909.061,225.287
1024,8,21,918.152,223.057
1024,8,22,889.848,230.152
1024,8,23,903.282,226.729
1024,8,24,923.141,221.851
1024,8,25,944.506,216.833
1024,8,26,908.607,225.400
1024,8,27,888.268,230.561
1024,8,28,925.155,221.368
1024,8,29,953.392,214.812
1024,8,30,938.155,218.301
1024,16,1,538.100,380.599
1024,16,2,563.779,363.263
1024,16,3,573.354,357.197
1024,16,4,567.490,360.887
1024,16,5,555.904,368.409
1024,16,6,556.097,368.281
1024,16,7,563.948,363.154
1024,16,8,547.355,374.163
1024,16,9,563.652,363.345
1024,16,10,572.049,358.012
1024,16,11,588.019,348.288
1024,16,12,555.544,368.648
1024,16,13,563.142,363.674
1024,16,14,566.097,361.776
1024,16,15,526.484,388.996
1024,16,16,557.222,367.537
1024,16,17,553.098,370.278
1024,16,18,550.225,372.212
1024,16,19,569.211,359.796
1024,16,20,552.662,370.570
1024,16,21,565.824,361.950
1024,16,22,563.739,363.289
1024,16,23,547.035,374.382
1024,16,24,574.981,356.185
1024,16,25,602.558,339.884
1024,16,26,554.993,369.014
1024,16,27,553.500,370.009
1024,16,28,523.560,391.168
1024,16,29,541.460,378.236
1024,16,30,571.745,358.202
2048,1,1,2995.670,68.365
2048,1,2,3015.836,67.908
2048,1,3,3039.028,67.390
2048,1,4,3058.788,66.955
2048,1,5,3009.737,68.046
2048,1,6,3084.616,66.394
2048,1,7,3039.701,67.375
2048,1,8,3060.609,66.915
2048,1,9,3043.702,67.286
2048,1,10,3037.113,67.432
2048,1,11,2966.784,69.031
2048,1,12,3043.348,67.294
2048,1,13,2901.777,70.577
2048,1,14,3059.757,66.933
2048,1,15,3037.466,67.425
2048,1,16,2982.137,68.676
2048,1,17,3033.746,67.507
2048,1,18,3069.687,66.717
2048,1,19,3099.273,66.080
2048,1,20,3076.963,66.559
2048,1,21,2982.983,68.656
2048,1,22,2972.969,68.887
2048,1,23,3033.410,67.515
2048,1,24,3077.663,66.544
2048,1,25,3066.486,66.787
2048,1,26,2971.084,68.931
2048,1,27,3057.398,66.985
2048,1,28,3105.068,65.957
2048,1,29,3011.569,68.004
2048,1,30,2961.530,69.153
2048,2,1,1607.893,127.372
2048,2,2,1574.475,130.075
2048,2,3,1586.813,129.064
2048,2,4,1566.768,130.715
2048,2,5,1580.285,129.597
2048,2,6,1597.194,128.225
2048,2,7,1524.498,134.339
2048,2,8,1649.360,124.169
2048,2,9,1569.044,130.525
2048,2,10,1546.749,132.407
2048,2,11,1642.692,124.673
2048,2,12,1529.302,133.917
2048,2,13,1591.337,128.697
2048,2,14,1571.499,130.321
2048,2,15,1612.181,127.033
2048,2,16,1617.324,126.629
2048,2,17,1567.874,130.623
2048,2,18,1542.956,132.732
2048,2,19,1589.758,128.825
2048,2,20,1608.499,127.324
2048,2,21,1622.732,126.207
2048,2,22,1558.981,131.368
2048,2,23,1601.457,127.884
2048,2,24,1506.967,135.902
2048,2,25,1514.589,135.218
2048,2,26,1602.795,127.777
2048,2,27,1503.711,136.196
2048,2,28,1592.082,128.637
2048,2,29,1527.837,134.046
2048,2,30,1552.272,131.936
2048,4,1,889.533,230.233
2048,4,2,863.962,237.047
2048,4,3,861.868,237.624
2048,4,4,886.855,230.928
2048,4,5,887.218,230.834
2048,4,6,839.455,243.968
2048,4,7,851.942,240.392
2048,4,8,844.052,242.639
2048,4,9,890.254,230.047
2048,4,10,881.581,232.310
2048,4,11,881.776,232.259
2048,4,12,831.059,246.433
2048,4,13,885.388,231.311
2048,4,14,886.058,231.136
2048,4,15,875.410,233.947
2048,4,16,824.218,248.478
2048,4,17,841.346,243.419
2048,4,18,867.451,236.094
2048,4,19,858.467,238.565
2048,4,20,865.350,236.667
2048,4,21,848.159,241.464
2048,4,22,848.684,241.315
2048,4,23,883.697,231.754
2048,4,24,841.120,243.485
2048,4,25,814.374,251.482
2048,4,26,870.144,235.363
2048,4,27,869.167,235.628
2048,4,28,895.883,228.601
2048,4,29,860.981,237.868
